MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,,
1,8.803,6.3891E+17,6.3891E+17,,,8.803,
2,11.023,6.3891E+17,6.3891E+17,,,,
3,12.1,6.3891E+17,6.3891E+17,,,Mean,7190.14149
4,13.106,6.3891E+17,6.3891E+17,,,Standard Error,41.34645998
5,14.214,6.3891E+17,6.3891E+17,,,Median,7200.717
6,16.143,6.3891E+17,6.3891E+17,,,Mode,18.838
7,17.351,6.3891E+17,6.3891E+17,,,Standard Deviation,4134.43926
8,18.838,6.3891E+17,6.3891E+17,,,Sample Variance,17093588
9,18.838,6.3891E+17,6.3891E+17,,,Kurtosis,-1.1943177
10,20.326,6.3891E+17,6.3891E+17,,,Skewness,-0.003697284
11,21.483,6.3891E+17,6.3891E+17,,,Range,14315.097
12,22.865,6.3891E+17,6.3891E+17,,,Minimum,11.023
13,23.872,6.3891E+17,6.3891E+17,,,Maximum,14326.12
14,25.265,6.3891E+17,6.3891E+17,,,Sum,71894224.76
15,26.703,6.3891E+17,6.3891E+17,,,Count,9999
16,27.941,6.3891E+17,6.3891E+17,,,,1
17,29.106,6.3891E+17,6.3891E+17,,,,
18,30.576,6.3891E+17,6.3891E+17,,,,
19,31.947,6.3891E+17,6.3891E+17,,,,
20,33.306,6.3891E+17,6.3891E+17,,,,
21,34.311,6.3891E+17,6.3891E+17,,,,
22,35.411,6.3891E+17,6.3891E+17,,,,
23,37.691,6.3891E+17,6.3891E+17,,,,
24,37.691,6.3891E+17,6.3891E+17,,,,
25,39.185,6.3891E+17,6.3891E+17,,,,
26,40.661,6.3891E+17,6.3891E+17,,,,
27,44.284,6.3891E+17,6.3891E+17,,,,
28,45.287,6.3891E+17,6.3891E+17,,,,
29,45.287,6.3891E+17,6.3891E+17,,,,
30,46.789,6.3891E+17,6.3891E+17,,,,
31,48.288,6.3891E+17,6.3891E+17,,,,
32,49.492,6.3891E+17,6.3891E+17,,,,
33,50.728,6.3891E+17,6.3891E+17,,,,
34,51.867,6.3891E+17,6.3891E+17,,,,
35,53.109,6.3891E+17,6.3891E+17,,,,
36,54.538,6.3891E+17,6.3891E+17,,,,
37,54.538,6.3891E+17,6.3891E+17,,,,
38,56.391,6.3891E+17,6.3891E+17,,,,
39,57.529,6.3891E+17,6.3891E+17,,,,
40,58.562,6.3891E+17,6.3891E+17,,,,
41,59.803,6.3891E+17,6.3891E+17,,,,
42,61.608,6.3891E+17,6.3891E+17,,,,
43,62.616,6.3891E+17,6.3891E+17,,,,
44,63.615,6.3891E+17,6.3891E+17,,,,
45,64.709,6.3891E+17,6.3891E+17,,,,
46,65.715,6.3891E+17,6.3891E+17,,,,
47,66.72,6.3891E+17,6.3891E+17,,,,
48,68.068,6.3891E+17,6.3891E+17,,,,
49,69.123,6.3891E+17,6.3891E+17,,,,
50,70.509,6.3891E+17,6.3891E+17,,,,
51,71.971,6.3891E+17,6.3891E+17,,,,
52,73.211,6.3891E+17,6.3891E+17,,,,
53,74.53,6.3891E+17,6.3891E+17,,,,
54,78.555,6.3891E+17,6.3891E+17,,,,
55,79.586,6.3891E+17,6.3891E+17,,,,
56,81.048,6.3891E+17,6.3891E+17,,,,
57,83.546,6.3891E+17,6.3891E+17,,,,
58,83.546,6.3891E+17,6.3891E+17,,,,
59,85.024,6.3891E+17,6.3891E+17,,,,
60,86.346,6.3891E+17,6.3891E+17,,,,
61,87.649,6.3891E+17,6.3891E+17,,,,
62,88.792,6.3891E+17,6.3891E+17,,,,
63,90.007,6.3891E+17,6.3891E+17,,,,
64,90.007,6.3891E+17,6.3891E+17,,,,
65,91.483,6.3891E+17,6.3891E+17,,,,
66,92.974,6.3891E+17,6.3891E+17,,,,
67,94.275,6.3891E+17,6.3891E+17,,,,
68,95.402,6.3891E+17,6.3891E+17,,,,
69,96.65,6.3891E+17,6.3891E+17,,,,
70,97.782,6.3891E+17,6.3891E+17,,,,
71,98.786,6.3891E+17,6.3891E+17,,,,
72,99.996,6.3891E+17,6.3891E+17,,,,
73,101.496,6.3891E+17,6.3891E+17,,,,
74,101.496,6.3891E+17,6.3891E+17,,,,
75,104.38,6.3891E+17,6.3891E+17,,,,
76,104.38,6.3891E+17,6.3891E+17,,,,
77,105.724,6.3891E+17,6.3891E+17,,,,
78,107.219,6.3891E+17,6.3891E+17,,,,
79,108.376,6.3891E+17,6.3891E+17,,,,
80,109.382,6.3891E+17,6.3891E+17,,,,
