MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp
1,0.711,638905044187196228,638905044187203341
2,0.527,638905044187250620,638905044187255887
3,0.588,638905044187267916,638905044187273798
4,0.538,638905044187292217,638905044187297599
5,1.169,638905044187320192,638905044187331882
6,0.820,638905044187370430,638905044187378634
7,0.550,638905044187389958,638905044187395459
8,1.063,638905044187425699,638905044187436331
9,0.609,638905044187448239,638905044187454328
10,1.125,638905044187471263,638905044187482512
11,0.547,638905044187495169,638905044187500642
12,0.558,638905044187517059,638905044187522635
13,0.553,638905044187539630,638905044187545156
14,0.000,638905044187569099,638905044187569099
15,1.363,638905044187581393,638905044187595027
16,1.436,638905044187617221,638905044187631582
17,0.000,638905044187655796,638905044187655796
18,1.024,638905044187678371,638905044187688612
19,2.065,638905044187763961,638905044187784615
20,7.154,638905044187799696,638905044187871233
21,1.026,638905044187881058,638905044187891317
22,0.000,638905044187917844,638905044187917844
23,1.019,638905044187939524,638905044187949714
24,0.000,638905044187969912,638905044187969912
25,1.444,638905044187989931,638905044188004371
26,1.182,638905044188014465,638905044188026289
27,1.491,638905044188036417,638905044188051322
28,1.020,638905044188065620,638905044188075824
29,1.368,638905044188089118,638905044188102793
30,0.000,638905044188128621,638905044188128621
31,1.340,638905044188138788,638905044188152187
32,1.409,638905044188162398,638905044188176492
33,0.000,638905044188200798,638905044188200798
34,1.298,638905044188222172,638905044188235150
35,1.014,638905044188250110,638905044188260246
36,1.338,638905044188267222,638905044188280605
37,0.000,638905044188306661,638905044188306661
38,1.010,638905044188317446,638905044188327548
39,0.000,638905044188342673,638905044188342673
40,1.493,638905044188355650,638905044188370575
41,1.437,638905044188383846,638905044188398218
42,1.376,638905044188409519,638905044188423277
43,0.000,638905044188437263,638905044188437263
44,1.020,638905044188464890,638905044188475088
45,1.405,638905044188499894,638905044188513945
46,1.450,638905044188513945,638905044188528441
47,1.076,638905044188543069,638905044188553829
48,0.000,638905044188567694,638905044188567694
49,0.000,638905044188594956,638905044188594956
50,0.000,638905044188619445,638905044188619445
51,1.312,638905044188633061,638905044188646182
52,1.366,638905044188658537,638905044188672196
53,1.474,638905044188672196,638905044188686940
54,1.159,638905044188709142,638905044188720731
55,0.000,638905044188743707,638905044188743707
56,1.329,638905044188758562,638905044188771853
57,1.051,638905044188784816,638905044188795323
58,1.025,638905044188819588,638905044188829838
59,0.000,638905044188840639,638905044188840639
60,1.289,638905044188855524,638905044188868413
61,1.478,638905044188881875,638905044188896657
62,1.141,638905044188911479,638905044188922885
63,0.000,638905044188936574,638905044188936574
64,0.000,638905044188962807,638905044188962807
65,0.000,638905044188977059,638905044188977059
66,0.000,638905044189005696,638905044189005696
67,1.426,638905044189015858,638905044189030118
68,1.001,638905044189050330,638905044189060338
69,0.000,638905044189080277,638905044189080277
70,1.358,638905044189095342,638905044189108926
71,0.000,638905044189121709,638905044189121709
72,0.000,638905044189150411,638905044189150411
73,0.000,638905044189172364,638905044189172364
74,0.000,638905044189192531,638905044189192531
75,1.827,638905044189214121,638905044189232386
76,0.000,638905044189245631,638905044189245631
77,0.000,638905044189273898,638905044189273898
78,1.423,638905044189283908,638905044189298137
79,0.000,638905044189312732,638905044189312732
80,0.098,638905044189334901,638905044189335884
81,1.559,638905044189349364,638905044189364957
82,1.279,638905044189370055,638905044189382848
83,1.014,638905044189398018,638905044189408153
84,1.154,638905044189422794,638905044189434334
85,0.000,638905044189449253,638905044189449253
86,0.000,638905044189471970,638905044189471970
87,0.000,638905044189496952,638905044189496952
88,0.518,638905044189517879,638905044189523058
89,1.497,638905044189533385,638905044189548355
90,0.000,638905044189568573,638905044189568573
91,1.001,638905044189578569,638905044189588580
92,1.066,638905044189600546,638905044189611207
93,1.477,638905044189621287,638905044189636052
94,0.521,638905044189662151,638905044189667360
95,1.920,638905044189667360,638905044189686562
96,0.000,638905044189701589,638905044189701589
97,1.462,638905044189714543,638905044189729164
98,1.018,638905044189739284,638905044189749459
99,0.999,638905044189769455,638905044189779442
100,0.000,638905044189794527,638905044189794527
101,0.000,638905044190009013,638905044190009013
102,1.360,638905044190019166,638905044190032761
103,0.000,638905044190047519,638905044190047519
104,1.483,638905044190062158,638905044190076992
105,1.490,638905044190088040,638905044190102938
106,1.467,638905044190116800,638905044190131466
107,0.000,638905044190146507,638905044190146507
108,1.012,638905044190173361,638905044190183485
109,0.000,638905044190195797,638905044190195797
110,1.515,638905044190209126,638905044190224278
111,1.280,638905044190237244,638905044190250042
112,1.476,638905044190263128,638905044190277888
113,1.504,638905044190292425,638905044190307460
114,1.278,638905044190322229,638905044190335011
115,0.000,638905044190349216,638905044190349216
116,1.208,638905044190373092,638905044190385168
117,0.000,638905044190400277,638905044190400277
118,0.000,638905044190421651,638905044190421651
119,1.462,638905044190433552,638905044190448172
120,0.000,638905044190471564,638905044190471564
121,0.000,638905044190498396,638905044190498396
122,0.000,638905044190526737,638905044190526737
123,1.389,638905044190550328,638905044190564218
124,1.014,638905044190614710,638905044190624854
125,1.253,638905044190638973,638905044190651506
126,0.514,638905044190665977,638905044190671113
127,0.509,638905044190699317,638905044190704407
128,0.557,638905044190716395,638905044190721967
129,0.000,638905044190745025,638905044190745025
130,0.705,638905044190761808,638905044190768858
131,0.609,638905044190785225,638905044190791318
132,1.050,638905044190815825,638905044190826322
133,1.013,638905044190854385,638905044190864511
134,0.000,638905044190878419,638905044190878419
135,1.468,638905044190892266,638905044190906949
136,0.000,638905044190930287,638905044190930287
137,0.000,638905044190951025,638905044190951025
138,1.047,638905044190972717,638905044190983182
139,1.104,638905044190993393,638905044191004431
140,0.525,638905044191020287,638905044191025533
141,1.452,638905044191037982,638905044191052501
142,0.000,638905044191067366,638905044191067366
143,0.000,638905044191098237,638905044191098237
144,0.000,638905044191122366,638905044191122366
145,1.480,638905044191132479,638905044191147282
146,1.358,638905044191160485,638905044191174065
147,1.420,638905044191186893,638905044191201092
148,1.524,638905044191201092,638905044191216335
149,0.000,638905044191228216,638905044191228216
150,1.499,638905044191249645,638905044191264636
151,1.446,638905044191269775,638905044191284235
152,0.000,638905044191298172,638905044191298172
153,0.000,638905044191327862,638905044191327862
154,0.000,638905044191340705,638905044191340705
155,1.120,638905044191368836,638905044191380040
156,0.511,638905044191404151,638905044191409257
157,1.463,638905044191423239,638905044191437867
158,0.000,638905044191449715,638905044191449715
159,0.000,638905044191476398,638905044191476398
160,1.443,638905044191486516,638905044191500946
161,1.244,638905044191511047,638905044191523491
162,1.147,638905044191535207,638905044191546672
163,0.514,638905044191569211,638905044191574353
164,0.062,638905044191596438,638905044191597056
165,0.616,638905044191620003,638905044191626166
166,0.605,638905044191655494,638905044191661543
167,1.565,638905044191673334,638905044191688979
168,2.597,638905044191720117,638905044191746090
169,1.003,638905044191779377,638905044191789407
170,0.731,638905044191801979,638905044191809286
171,1.517,638905044191836159,638905044191851331
172,0.000,638905044191877172,638905044191877172
173,0.965,638905044191899017,638905044191908668
174,1.322,638905044191949099,638905044191962316
175,0.000,638905044191977446,638905044191977446
176,1.031,638905044192011040,638905044192021349
177,0.998,638905044192050851,638905044192060827
178,2.557,638905044192081122,638905044192106689
179,1.065,638905044192120523,638905044192131170
