MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp
1,0.657,638902891612952743,638902891612959309
2,0.000,638902891612969793,638902891612969793
3,0.000,638902891612984353,638902891612984353
4,0.000,638902891612984353,638902891612984353
5,0.000,638902891612999278,638902891612999278
6,0.000,638902891613014124,638902891613014124
7,0.000,638902891613026740,638902891613026740
8,1.407,638902891613026740,638902891613040806
9,0.000,638902891613040806,638902891613040806
10,0.000,638902891613054621,638902891613054621
11,0.000,638902891613070218,638902891613070218
12,0.000,638902891613080507,638902891613080507
13,0.000,638902891613091134,638902891613091134
14,0.000,638902891613096374,638902891613096374
15,0.000,638902891613111334,638902891613111334
16,1.345,638902891613111334,638902891613124783
17,2.500,638902891613124783,638902891613149781
18,0.000,638902891613159840,638902891613159840
19,1.457,638902891613159840,638902891613174409
20,5.083,638902891613174409,638902891613225241
21,0.000,638902891613235309,638902891613235309
22,1.216,638902891613235309,638902891613247471
23,1.117,638902891613247471,638902891613258639
24,0.000,638902891613258639,638902891613258639
25,0.000,638902891613273504,638902891613273504
26,0.000,638902891613283556,638902891613283556
27,0.000,638902891613293951,638902891613293951
28,1.316,638902891613293951,638902891613307109
29,0.000,638902891613307109,638902891613307109
30,0.528,638902891613326508,638902891613331792
31,0.000,638902891613337101,638902891613337101
32,0.000,638902891613347784,638902891613347784
33,0.000,638902891613362776,638902891613362776
34,1.460,638902891613362776,638902891613377373
35,0.000,638902891613377373,638902891613377373
36,0.000,638902891613392089,638902891613392089
37,0.000,638902891613402086,638902891613402086
38,0.000,638902891613402086,638902891613402086
39,0.000,638902891613416903,638902891613416903
40,0.000,638902891613430029,638902891613430029
41,1.458,638902891613430029,638902891613444605
42,0.507,638902891613446915,638902891613451987
43,0.555,638902891613457355,638902891613462908
44,0.514,638902891613468186,638902891613473324
45,0.527,638902891613478625,638902891613483896
46,0.533,638902891613489103,638902891613494436
47,0.000,638902891613504952,638902891613504952
48,0.000,638902891613515500,638902891613515500
49,0.000,638902891613526044,638902891613526044
50,0.000,638902891613536442,638902891613536442
51,0.537,638902891613541651,638902891613547017
52,0.534,638902891613552185,638902891613557520
53,0.520,638902891613562807,638902891613568007
54,0.525,638902891613573209,638902891613578459
55,0.506,638902891613584390,638902891613589448
56,0.518,638902891613594633,638902891613599816
57,0.000,638902891613610425,638902891613610425
58,0.523,638902891613615600,638902891613620831
59,0.000,638902891613631375,638902891613631375
60,0.000,638902891613641937,638902891613641937
61,0.530,638902891613647300,638902891613652596
62,0.525,638902891613657878,638902891613663130
63,0.507,638902891613670326,638902891613675391
64,0.000,638902891613680708,638902891613680708
65,0.000,638902891613691374,638902891613691374
66,0.000,638902891613701800,638902891613701800
67,0.522,638902891613707007,638902891613712230
