MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,
143,0,6.39E+17,6.39E+17,,,
144,0,6.39E+17,6.39E+17,,,
145,0,6.39E+17,6.39E+17,,,
146,1.005,6.39E+17,6.39E+17,,,
147,0,6.39E+17,6.39E+17,,,
148,0,6.39E+17,6.39E+17,,,
149,0,6.39E+17,6.39E+17,,,
150,1.388,6.39E+17,6.39E+17,,,
151,0,6.39E+17,6.39E+17,,,
152,0,6.39E+17,6.39E+17,,,
153,1.007,6.39E+17,6.39E+17,,,
154,0,6.39E+17,6.39E+17,,,
155,0,6.39E+17,6.39E+17,,,
156,0,6.39E+17,6.39E+17,,,
157,0,6.39E+17,6.39E+17,,,
158,0,6.39E+17,6.39E+17,,,
159,1.392,6.39E+17,6.39E+17,,,
160,0,6.39E+17,6.39E+17,,,
161,0,6.39E+17,6.39E+17,,,
162,0,6.39E+17,6.39E+17,,,
163,0,6.39E+17,6.39E+17,,,
164,0,6.39E+17,6.39E+17,,,
165,0,6.39E+17,6.39E+17,,,
166,0,6.39E+17,6.39E+17,,,
167,0,6.39E+17,6.39E+17,,,
168,0,6.39E+17,6.39E+17,,,
169,0,6.39E+17,6.39E+17,,,
170,1.095,6.39E+17,6.39E+17,,,
171,0,6.39E+17,6.39E+17,,,
172,0.506,6.39E+17,6.39E+17,,,
173,0,6.39E+17,6.39E+17,,,
174,0,6.39E+17,6.39E+17,,,
175,0,6.39E+17,6.39E+17,,,
176,0,6.39E+17,6.39E+17,,,
177,0,6.39E+17,6.39E+17,,,
178,0,6.39E+17,6.39E+17,,,
179,0,6.39E+17,6.39E+17,,,
180,0,6.39E+17,6.39E+17,,,
181,0,6.39E+17,6.39E+17,,,
182,0,6.39E+17,6.39E+17,,,
183,0,6.39E+17,6.39E+17,,,
184,0,6.39E+17,6.39E+17,,,
185,0,6.39E+17,6.39E+17,,,
186,0,6.39E+17,6.39E+17,,,
187,0,6.39E+17,6.39E+17,,,
188,0,6.39E+17,6.39E+17,,,
189,0,6.39E+17,6.39E+17,,,
190,1.256,6.39E+17,6.39E+17,,,
191,0,6.39E+17,6.39E+17,,,
192,0,6.39E+17,6.39E+17,,,
193,0,6.39E+17,6.39E+17,,,
194,0,6.39E+17,6.39E+17,,,
195,0,6.39E+17,6.39E+17,,,
196,0,6.39E+17,6.39E+17,,,
197,0,6.39E+17,6.39E+17,,,
198,1.279,6.39E+17,6.39E+17,,,
199,0,6.39E+17,6.39E+17,,,
200,0,6.39E+17,6.39E+17,,,
201,0,6.39E+17,6.39E+17,,,
202,0,6.39E+17,6.39E+17,,,
203,0,6.39E+17,6.39E+17,,,
204,0,6.39E+17,6.39E+17,,,
205,0,6.39E+17,6.39E+17,,,
206,1.055,6.39E+17,6.39E+17,,,
207,0,6.39E+17,6.39E+17,,,
208,0,6.39E+17,6.39E+17,,,
209,0,6.39E+17,6.39E+17,,,
210,0,6.39E+17,6.39E+17,,,
211,1.069,6.39E+17,6.39E+17,,,
212,0,6.39E+17,6.39E+17,,,
213,0,6.39E+17,6.39E+17,,,
214,0,6.39E+17,6.39E+17,,,
215,0,6.39E+17,6.39E+17,,,
216,0,6.39E+17,6.39E+17,,,
217,0,6.39E+17,6.39E+17,,,
218,0,6.39E+17,6.39E+17,,,
219,1.244,6.39E+17,6.39E+17,,,
220,0,6.39E+17,6.39E+17,,,
221,0,6.39E+17,6.39E+17,,,
222,0,6.39E+17,6.39E+17,,,
223,0,6.39E+17,6.39E+17,,,
224,1.514,6.39E+17,6.39E+17,,,
225,0,6.39E+17,6.39E+17,,,
226,0,6.39E+17,6.39E+17,,,
227,0,6.39E+17,6.39E+17,,,
228,0,6.39E+17,6.39E+17,,,
229,1.022,6.39E+17,6.39E+17,,,
230,0,6.39E+17,6.39E+17,,,
231,0,6.39E+17,6.39E+17,,,
232,0,6.39E+17,6.39E+17,,,
233,0,6.39E+17,6.39E+17,,,
234,0,6.39E+17,6.39E+17,,,
235,0,6.39E+17,6.39E+17,,,
236,1.389,6.39E+17,6.39E+17,,,
237,0,6.39E+17,6.39E+17,,,
238,0,6.39E+17,6.39E+17,,,
239,0,6.39E+17,6.39E+17,,,
240,1.291,6.39E+17,6.39E+17,,,
241,0,6.39E+17,6.39E+17,,,
242,0,6.39E+17,6.39E+17,,,
243,0,6.39E+17,6.39E+17,,,
244,0,6.39E+17,6.39E+17,,,
245,0,6.39E+17,6.39E+17,,,
246,1.499,6.39E+17,6.39E+17,,,
247,1.367,6.39E+17,6.39E+17,,,
248,0,6.39E+17,6.39E+17,,,
249,0,6.39E+17,6.39E+17,,,
250,0,6.39E+17,6.39E+17,,,
251,1.05,6.39E+17,6.39E+17,,,
252,0,6.39E+17,6.39E+17,,,
253,0,6.39E+17,6.39E+17,,,
254,0,6.39E+17,6.39E+17,,,
255,1.078,6.39E+17,6.39E+17,,,
256,0,6.39E+17,6.39E+17,,,
257,0,6.39E+17,6.39E+17,,,
258,0,6.39E+17,6.39E+17,,,
259,1.424,6.39E+17,6.39E+17,,,
260,1.086,6.39E+17,6.39E+17,,,
261,0,6.39E+17,6.39E+17,,,
262,0,6.39E+17,6.39E+17,,,
263,1.441,6.39E+17,6.39E+17,,,
264,0,6.39E+17,6.39E+17,,,
265,0,6.39E+17,6.39E+17,,,
266,0,6.39E+17,6.39E+17,,,
267,0,6.39E+17,6.39E+17,,,
268,0,6.39E+17,6.39E+17,,,
269,0,6.39E+17,6.39E+17,,,
270,0,6.39E+17,6.39E+17,,,
271,0,6.39E+17,6.39E+17,,,
272,0,6.39E+17,6.39E+17,,,
273,0,6.39E+17,6.39E+17,,,
274,0,6.39E+17,6.39E+17,,,
275,1.439,6.39E+17,6.39E+17,,,
276,0,6.39E+17,6.39E+17,,,
277,0,6.39E+17,6.39E+17,,,
278,0,6.39E+17,6.39E+17,,,
279,0,6.39E+17,6.39E+17,,,
280,0,6.39E+17,6.39E+17,,,
281,0,6.39E+17,6.39E+17,,,
282,1.419,6.39E+17,6.39E+17,,,
283,0,6.39E+17,6.39E+17,,,
284,0,6.39E+17,6.39E+17,,,
285,0,6.39E+17,6.39E+17,,,
286,0,6.39E+17,6.39E+17,,,
287,0,6.39E+17,6.39E+17,,,
288,0,6.39E+17,6.39E+17,,,
289,0,6.39E+17,6.39E+17,,,
290,1.484,6.39E+17,6.39E+17,,,
291,0,6.39E+17,6.39E+17,,,
292,0,6.39E+17,6.39E+17,,,
293,0,6.39E+17,6.39E+17,,,
294,1.242,6.39E+17,6.39E+17,,,
295,0,6.39E+17,6.39E+17,,,
296,0,6.39E+17,6.39E+17,,,
297,0,6.39E+17,6.39E+17,,,
298,0,6.39E+17,6.39E+17,,,
299,0,6.39E+17,6.39E+17,,,
300,0,6.39E+17,6.39E+17,,,
301,1.01,6.39E+17,6.39E+17,,,
302,1.342,6.39E+17,6.39E+17,,,
303,1.454,6.39E+17,6.39E+17,,,
304,0,6.39E+17,6.39E+17,,,
305,0,6.39E+17,6.39E+17,,,
306,0,6.39E+17,6.39E+17,,,
307,0,6.39E+17,6.39E+17,,,
308,0,6.39E+17,6.39E+17,,,
309,1.374,6.39E+17,6.39E+17,,,
310,0,6.39E+17,6.39E+17,,,
311,6.601,6.39E+17,6.39E+17,,,
312,0,6.39E+17,6.39E+17,,,
313,0,6.39E+17,6.39E+17,,,
314,0,6.39E+17,6.39E+17,,,
315,1.173,6.39E+17,6.39E+17,,,
316,0,6.39E+17,6.39E+17,,,
317,0,6.39E+17,6.39E+17,,,
318,0,6.39E+17,6.39E+17,,,
319,0,6.39E+17,6.39E+17,,,
320,0,6.39E+17,6.39E+17,,,
321,0,6.39E+17,6.39E+17,,,
322,1.475,6.39E+17,6.39E+17,,,
323,0,6.39E+17,6.39E+17,,,
324,0,6.39E+17,6.39E+17,,,
325,1.482,6.39E+17,6.39E+17,,,
326,1.008,6.39E+17,6.39E+17,,,
327,0,6.39E+17,6.39E+17,,,
328,0,6.39E+17,6.39E+17,,,
329,0,6.39E+17,6.39E+17,,,
330,0,6.39E+17,6.39E+17,,,
331,0,6.39E+17,6.39E+17,,,
332,0,6.39E+17,6.39E+17,,,
333,0,6.39E+17,6.39E+17,,,
334,0,6.39E+17,6.39E+17,,,
335,0,6.39E+17,6.39E+17,,,
336,0,6.39E+17,6.39E+17,,,
337,0,6.39E+17,6.39E+17,,,
338,0,6.39E+17,6.39E+17,,,
339,0,6.39E+17,6.39E+17,,,
340,0,6.39E+17,6.39E+17,,,
