2025-08-09 01:41:04.228 - SignalR Publisher Starting...
2025-08-09 01:41:06.891 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-09 01:41:07.394 - Connected to SignalR hub
2025-08-09 01:41:08.409 - Starting warm-up phase with 100 messages
2025-08-09 01:41:08.764 - Sent 100 WARMUP messages...
2025-08-09 01:41:08.764 - Completed sending all 100 WARMUP messages
2025-08-09 01:41:08.765 - Warm-up phase completed
2025-08-09 01:41:10.777 - Starting performance test with 10000 messages
2025-08-09 01:41:10.917 - Sent 100 TEST messages...
2025-08-09 01:41:11.041 - Sent 200 TEST messages...
2025-08-09 01:41:11.168 - Sent 300 TEST messages...
2025-08-09 01:41:11.309 - Sent 400 TEST messages...
2025-08-09 01:41:11.477 - Sent 500 TEST messages...
2025-08-09 01:41:11.602 - Sent 600 TEST messages...
2025-08-09 01:41:11.727 - Sent 700 TEST messages...
2025-08-09 01:41:11.851 - Sent 800 TEST messages...
2025-08-09 01:41:11.990 - Sent 900 TEST messages...
2025-08-09 01:41:12.129 - Sent 1000 TEST messages...
2025-08-09 01:41:12.255 - Sent 1100 TEST messages...
2025-08-09 01:41:12.380 - Sent 1200 TEST messages...
2025-08-09 01:41:12.519 - Sent 1300 TEST messages...
2025-08-09 01:41:12.658 - Sent 1400 TEST messages...
2025-08-09 01:41:12.798 - Sent 1500 TEST messages...
2025-08-09 01:41:12.937 - Sent 1600 TEST messages...
2025-08-09 01:41:13.062 - Sent 1700 TEST messages...
2025-08-09 01:41:13.187 - Sent 1800 TEST messages...
2025-08-09 01:41:13.313 - Sent 1900 TEST messages...
2025-08-09 01:41:13.440 - Sent 2000 TEST messages...
2025-08-09 01:41:13.580 - Sent 2100 TEST messages...
2025-08-09 01:41:13.705 - Sent 2200 TEST messages...
2025-08-09 01:41:13.831 - Sent 2300 TEST messages...
2025-08-09 01:41:13.956 - Sent 2400 TEST messages...
2025-08-09 01:41:14.143 - Sent 2500 TEST messages...
2025-08-09 01:41:14.271 - Sent 2600 TEST messages...
2025-08-09 01:41:14.409 - Sent 2700 TEST messages...
2025-08-09 01:41:14.549 - Sent 2800 TEST messages...
2025-08-09 01:41:14.690 - Sent 2900 TEST messages...
2025-08-09 01:41:14.815 - Sent 3000 TEST messages...
2025-08-09 01:41:14.955 - Sent 3100 TEST messages...
2025-08-09 01:41:15.081 - Sent 3200 TEST messages...
2025-08-09 01:41:15.204 - Sent 3300 TEST messages...
2025-08-09 01:41:15.329 - Sent 3400 TEST messages...
2025-08-09 01:41:15.453 - Sent 3500 TEST messages...
2025-08-09 01:41:15.593 - Sent 3600 TEST messages...
2025-08-09 01:41:15.718 - Sent 3700 TEST messages...
2025-08-09 01:41:15.860 - Sent 3800 TEST messages...
2025-08-09 01:41:15.984 - Sent 3900 TEST messages...
2025-08-09 01:41:16.124 - Sent 4000 TEST messages...
2025-08-09 01:41:16.247 - Sent 4100 TEST messages...
2025-08-09 01:41:16.436 - Sent 4200 TEST messages...
2025-08-09 01:41:16.559 - Sent 4300 TEST messages...
2025-08-09 01:41:16.685 - Sent 4400 TEST messages...
2025-08-09 01:41:16.809 - Sent 4500 TEST messages...
2025-08-09 01:41:16.964 - Sent 4600 TEST messages...
2025-08-09 01:41:17.089 - Sent 4700 TEST messages...
2025-08-09 01:41:17.228 - Sent 4800 TEST messages...
2025-08-09 01:41:17.366 - Sent 4900 TEST messages...
2025-08-09 01:41:17.506 - Sent 5000 TEST messages...
2025-08-09 01:41:17.644 - Sent 5100 TEST messages...
2025-08-09 01:41:17.782 - Sent 5200 TEST messages...
2025-08-09 01:41:17.923 - Sent 5300 TEST messages...
2025-08-09 01:41:18.047 - Sent 5400 TEST messages...
2025-08-09 01:41:18.172 - Sent 5500 TEST messages...
2025-08-09 01:41:18.298 - Sent 5600 TEST messages...
2025-08-09 01:41:18.421 - Sent 5700 TEST messages...
2025-08-09 01:41:18.546 - Sent 5800 TEST messages...
2025-08-09 01:41:18.716 - Sent 5900 TEST messages...
2025-08-09 01:41:18.856 - Sent 6000 TEST messages...
2025-08-09 01:41:18.996 - Sent 6100 TEST messages...
2025-08-09 01:41:19.137 - Sent 6200 TEST messages...
2025-08-09 01:41:19.274 - Sent 6300 TEST messages...
2025-08-09 01:41:19.415 - Sent 6400 TEST messages...
2025-08-09 01:41:19.542 - Sent 6500 TEST messages...
2025-08-09 01:41:19.681 - Sent 6600 TEST messages...
2025-08-09 01:41:19.807 - Sent 6700 TEST messages...
2025-08-09 01:41:19.948 - Sent 6800 TEST messages...
2025-08-09 01:41:20.088 - Sent 6900 TEST messages...
2025-08-09 01:41:20.227 - Sent 7000 TEST messages...
2025-08-09 01:41:20.353 - Sent 7100 TEST messages...
2025-08-09 01:41:20.478 - Sent 7200 TEST messages...
2025-08-09 01:41:20.603 - Sent 7300 TEST messages...
2025-08-09 01:41:20.727 - Sent 7400 TEST messages...
2025-08-09 01:41:20.868 - Sent 7500 TEST messages...
2025-08-09 01:41:21.009 - Sent 7600 TEST messages...
2025-08-09 01:41:21.134 - Sent 7700 TEST messages...
2025-08-09 01:41:21.258 - Sent 7800 TEST messages...
2025-08-09 01:41:21.396 - Sent 7900 TEST messages...
2025-08-09 01:41:21.550 - Sent 8000 TEST messages...
2025-08-09 01:41:21.674 - Sent 8100 TEST messages...
2025-08-09 01:41:21.812 - Sent 8200 TEST messages...
2025-08-09 01:41:21.952 - Sent 8300 TEST messages...
2025-08-09 01:41:22.078 - Sent 8400 TEST messages...
2025-08-09 01:41:22.203 - Sent 8500 TEST messages...
2025-08-09 01:41:22.329 - Sent 8600 TEST messages...
2025-08-09 01:41:22.470 - Sent 8700 TEST messages...
2025-08-09 01:41:22.595 - Sent 8800 TEST messages...
2025-08-09 01:41:22.719 - Sent 8900 TEST messages...
2025-08-09 01:41:22.860 - Sent 9000 TEST messages...
2025-08-09 01:41:23.000 - Sent 9100 TEST messages...
2025-08-09 01:41:23.123 - Sent 9200 TEST messages...
2025-08-09 01:41:23.294 - Sent 9300 TEST messages...
2025-08-09 01:41:23.419 - Sent 9400 TEST messages...
2025-08-09 01:41:23.546 - Sent 9500 TEST messages...
2025-08-09 01:41:23.670 - Sent 9600 TEST messages...
2025-08-09 01:41:23.809 - Sent 9700 TEST messages...
2025-08-09 01:41:23.950 - Sent 9800 TEST messages...
2025-08-09 01:41:24.088 - Sent 9900 TEST messages...
2025-08-09 01:41:24.214 - Sent 10000 TEST messages...
2025-08-09 01:41:24.214 - Completed sending all 10000 TEST messages
2025-08-09 01:41:24.214 - Performance test completed in 13436ms
2025-08-09 01:41:24.214 - Throughput: 744.22 messages/second
2025-08-09 01:41:24.215 - Waiting for subscriber to process all messages...
