2025-08-11 13:19:59.582 - SignalR Publisher Starting...
2025-08-11 13:20:13.722 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-11 13:20:14.946 - Connected to SignalR hub
2025-08-11 13:20:15.963 - Starting warm-up phase with 100 messages
2025-08-11 13:20:16.705 - Sent 100 WARMUP messages...
2025-08-11 13:20:16.705 - Completed sending all 100 WARMUP messages
2025-08-11 13:20:16.707 - Warm-up phase completed
2025-08-11 13:20:18.718 - Starting performance test with 10000 messages
2025-08-11 13:20:18.999 - Sent 100 TEST messages...
2025-08-11 13:20:19.311 - Sent 200 TEST messages...
2025-08-11 13:20:19.591 - Sent 300 TEST messages...
2025-08-11 13:20:19.857 - Sent 400 TEST messages...
2025-08-11 13:20:20.136 - Sent 500 TEST messages...
2025-08-11 13:20:20.418 - Sent 600 TEST messages...
2025-08-11 13:20:20.728 - Sent 700 TEST messages...
2025-08-11 13:20:21.010 - Sent 800 TEST messages...
2025-08-11 13:20:21.276 - Sent 900 TEST messages...
2025-08-11 13:20:21.556 - Sent 1000 TEST messages...
2025-08-11 13:20:21.839 - Sent 1100 TEST messages...
2025-08-11 13:20:22.105 - Sent 1200 TEST messages...
2025-08-11 13:20:22.371 - Sent 1300 TEST messages...
2025-08-11 13:20:22.639 - Sent 1400 TEST messages...
2025-08-11 13:20:22.905 - Sent 1500 TEST messages...
2025-08-11 13:20:23.169 - Sent 1600 TEST messages...
2025-08-11 13:20:23.436 - Sent 1700 TEST messages...
2025-08-11 13:20:23.728 - Sent 1800 TEST messages...
2025-08-11 13:20:24.011 - Sent 1900 TEST messages...
2025-08-11 13:20:24.279 - Sent 2000 TEST messages...
2025-08-11 13:20:24.546 - Sent 2100 TEST messages...
2025-08-11 13:20:24.810 - Sent 2200 TEST messages...
2025-08-11 13:20:25.075 - Sent 2300 TEST messages...
2025-08-11 13:20:25.341 - Sent 2400 TEST messages...
2025-08-11 13:20:25.608 - Sent 2500 TEST messages...
2025-08-11 13:20:25.876 - Sent 2600 TEST messages...
2025-08-11 13:20:26.161 - Sent 2700 TEST messages...
2025-08-11 13:20:26.483 - Sent 2800 TEST messages...
2025-08-11 13:20:26.765 - Sent 2900 TEST messages...
2025-08-11 13:20:27.031 - Sent 3000 TEST messages...
2025-08-11 13:20:27.298 - Sent 3100 TEST messages...
2025-08-11 13:20:27.565 - Sent 3200 TEST messages...
2025-08-11 13:20:27.818 - Sent 3300 TEST messages...
2025-08-11 13:20:28.083 - Sent 3400 TEST messages...
2025-08-11 13:20:28.395 - Sent 3500 TEST messages...
2025-08-11 13:20:28.674 - Sent 3600 TEST messages...
2025-08-11 13:20:28.968 - Sent 3700 TEST messages...
2025-08-11 13:20:29.248 - Sent 3800 TEST messages...
2025-08-11 13:20:29.501 - Sent 3900 TEST messages...
2025-08-11 13:20:29.781 - Sent 4000 TEST messages...
2025-08-11 13:20:30.077 - Sent 4100 TEST messages...
2025-08-11 13:20:30.339 - Sent 4200 TEST messages...
2025-08-11 13:20:30.607 - Sent 4300 TEST messages...
2025-08-11 13:20:30.872 - Sent 4400 TEST messages...
2025-08-11 13:20:31.138 - Sent 4500 TEST messages...
2025-08-11 13:20:31.404 - Sent 4600 TEST messages...
2025-08-11 13:20:31.684 - Sent 4700 TEST messages...
2025-08-11 13:20:31.964 - Sent 4800 TEST messages...
2025-08-11 13:20:32.232 - Sent 4900 TEST messages...
2025-08-11 13:20:32.482 - Sent 5000 TEST messages...
2025-08-11 13:20:32.730 - Sent 5100 TEST messages...
2025-08-11 13:20:32.982 - Sent 5200 TEST messages...
2025-08-11 13:20:33.250 - Sent 5300 TEST messages...
2025-08-11 13:20:33.546 - Sent 5400 TEST messages...
2025-08-11 13:20:33.947 - Sent 5500 TEST messages...
2025-08-11 13:20:34.212 - Sent 5600 TEST messages...
2025-08-11 13:20:34.481 - Sent 5700 TEST messages...
2025-08-11 13:20:34.746 - Sent 5800 TEST messages...
2025-08-11 13:20:35.013 - Sent 5900 TEST messages...
2025-08-11 13:20:35.288 - Sent 6000 TEST messages...
2025-08-11 13:20:35.632 - Sent 6100 TEST messages...
2025-08-11 13:20:35.898 - Sent 6200 TEST messages...
2025-08-11 13:20:36.182 - Sent 6300 TEST messages...
2025-08-11 13:20:36.457 - Sent 6400 TEST messages...
2025-08-11 13:20:36.750 - Sent 6500 TEST messages...
2025-08-11 13:20:37.000 - Sent 6600 TEST messages...
2025-08-11 13:20:37.282 - Sent 6700 TEST messages...
2025-08-11 13:20:37.547 - Sent 6800 TEST messages...
2025-08-11 13:20:37.810 - Sent 6900 TEST messages...
2025-08-11 13:20:38.075 - Sent 7000 TEST messages...
2025-08-11 13:20:38.342 - Sent 7100 TEST messages...
2025-08-11 13:20:38.604 - Sent 7200 TEST messages...
2025-08-11 13:20:38.897 - Sent 7300 TEST messages...
2025-08-11 13:20:39.191 - Sent 7400 TEST messages...
2025-08-11 13:20:39.457 - Sent 7500 TEST messages...
2025-08-11 13:20:39.722 - Sent 7600 TEST messages...
2025-08-11 13:20:40.001 - Sent 7700 TEST messages...
2025-08-11 13:20:40.283 - Sent 7800 TEST messages...
2025-08-11 13:20:40.550 - Sent 7900 TEST messages...
2025-08-11 13:20:40.832 - Sent 8000 TEST messages...
2025-08-11 13:20:41.098 - Sent 8100 TEST messages...
2025-08-11 13:20:41.362 - Sent 8200 TEST messages...
2025-08-11 13:20:41.627 - Sent 8300 TEST messages...
2025-08-11 13:20:41.909 - Sent 8400 TEST messages...
2025-08-11 13:20:42.190 - Sent 8500 TEST messages...
2025-08-11 13:20:42.454 - Sent 8600 TEST messages...
2025-08-11 13:20:42.736 - Sent 8700 TEST messages...
2025-08-11 13:20:43.003 - Sent 8800 TEST messages...
2025-08-11 13:20:43.269 - Sent 8900 TEST messages...
2025-08-11 13:20:43.533 - Sent 9000 TEST messages...
2025-08-11 13:20:43.823 - Sent 9100 TEST messages...
2025-08-11 13:20:44.091 - Sent 9200 TEST messages...
2025-08-11 13:20:44.369 - Sent 9300 TEST messages...
2025-08-11 13:20:44.650 - Sent 9400 TEST messages...
2025-08-11 13:20:44.929 - Sent 9500 TEST messages...
2025-08-11 13:20:45.195 - Sent 9600 TEST messages...
2025-08-11 13:20:45.458 - Sent 9700 TEST messages...
2025-08-11 13:20:45.724 - Sent 9800 TEST messages...
2025-08-11 13:20:46.007 - Sent 9900 TEST messages...
2025-08-11 13:20:46.285 - Sent 10000 TEST messages...
2025-08-11 13:20:46.286 - Completed sending all 10000 TEST messages
2025-08-11 13:20:46.287 - Performance test completed in 27568ms
2025-08-11 13:20:46.288 - Throughput: 362.74 messages/second
2025-08-11 13:20:46.288 - Waiting for subscriber to process all messages...
