2025-08-10 13:21:24.797 - SignalR Publisher Starting...
2025-08-10 13:21:31.135 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-10 13:21:31.882 - Connected to SignalR hub
2025-08-10 13:21:32.885 - Starting warm-up phase with 100 messages
2025-08-10 13:21:33.239 - Sent 100 WARMUP messages...
2025-08-10 13:21:33.239 - Completed sending all 100 WARMUP messages
2025-08-10 13:21:33.240 - Warm-up phase completed
2025-08-10 13:21:35.248 - Starting performance test with 10000 messages
2025-08-10 13:21:35.379 - Sent 100 TEST messages...
2025-08-10 13:21:35.508 - Sent 200 TEST messages...
2025-08-10 13:21:35.631 - Sent 300 TEST messages...
2025-08-10 13:21:35.748 - Sent 400 TEST messages...
2025-08-10 13:21:35.869 - Sent 500 TEST messages...
2025-08-10 13:21:35.997 - Sent 600 TEST messages...
2025-08-10 13:21:36.128 - Sent 700 TEST messages...
2025-08-10 13:21:36.263 - Sent 800 TEST messages...
2025-08-10 13:21:36.405 - Sent 900 TEST messages...
2025-08-10 13:21:36.538 - Sent 1000 TEST messages...
2025-08-10 13:21:36.669 - Sent 1100 TEST messages...
2025-08-10 13:21:36.843 - Sent 1200 TEST messages...
2025-08-10 13:21:36.971 - Sent 1300 TEST messages...
2025-08-10 13:21:37.102 - Sent 1400 TEST messages...
2025-08-10 13:21:37.234 - Sent 1500 TEST messages...
2025-08-10 13:21:37.361 - Sent 1600 TEST messages...
2025-08-10 13:21:37.488 - Sent 1700 TEST messages...
2025-08-10 13:21:37.613 - Sent 1800 TEST messages...
2025-08-10 13:21:37.742 - Sent 1900 TEST messages...
2025-08-10 13:21:37.869 - Sent 2000 TEST messages...
2025-08-10 13:21:37.997 - Sent 2100 TEST messages...
2025-08-10 13:21:38.128 - Sent 2200 TEST messages...
2025-08-10 13:21:38.253 - Sent 2300 TEST messages...
2025-08-10 13:21:38.384 - Sent 2400 TEST messages...
2025-08-10 13:21:38.511 - Sent 2500 TEST messages...
2025-08-10 13:21:38.703 - Sent 2600 TEST messages...
2025-08-10 13:21:38.829 - Sent 2700 TEST messages...
2025-08-10 13:21:38.957 - Sent 2800 TEST messages...
2025-08-10 13:21:39.088 - Sent 2900 TEST messages...
2025-08-10 13:21:39.231 - Sent 3000 TEST messages...
2025-08-10 13:21:39.358 - Sent 3100 TEST messages...
2025-08-10 13:21:39.484 - Sent 3200 TEST messages...
2025-08-10 13:21:39.625 - Sent 3300 TEST messages...
2025-08-10 13:21:39.759 - Sent 3400 TEST messages...
2025-08-10 13:21:39.901 - Sent 3500 TEST messages...
2025-08-10 13:21:40.028 - Sent 3600 TEST messages...
2025-08-10 13:21:40.160 - Sent 3700 TEST messages...
2025-08-10 13:21:40.286 - Sent 3800 TEST messages...
2025-08-10 13:21:40.413 - Sent 3900 TEST messages...
2025-08-10 13:21:40.553 - Sent 4000 TEST messages...
2025-08-10 13:21:40.706 - Sent 4100 TEST messages...
2025-08-10 13:21:40.847 - Sent 4200 TEST messages...
2025-08-10 13:21:40.996 - Sent 4300 TEST messages...
2025-08-10 13:21:41.124 - Sent 4400 TEST messages...
2025-08-10 13:21:41.251 - Sent 4500 TEST messages...
2025-08-10 13:21:41.378 - Sent 4600 TEST messages...
2025-08-10 13:21:41.505 - Sent 4700 TEST messages...
2025-08-10 13:21:41.638 - Sent 4800 TEST messages...
2025-08-10 13:21:41.766 - Sent 4900 TEST messages...
2025-08-10 13:21:41.901 - Sent 5000 TEST messages...
2025-08-10 13:21:42.044 - Sent 5100 TEST messages...
2025-08-10 13:21:42.171 - Sent 5200 TEST messages...
2025-08-10 13:21:42.304 - Sent 5300 TEST messages...
2025-08-10 13:21:42.431 - Sent 5400 TEST messages...
2025-08-10 13:21:42.580 - Sent 5500 TEST messages...
2025-08-10 13:21:42.706 - Sent 5600 TEST messages...
2025-08-10 13:21:42.833 - Sent 5700 TEST messages...
2025-08-10 13:21:42.968 - Sent 5800 TEST messages...
2025-08-10 13:21:43.095 - Sent 5900 TEST messages...
2025-08-10 13:21:43.301 - Sent 6000 TEST messages...
2025-08-10 13:21:43.433 - Sent 6100 TEST messages...
2025-08-10 13:21:43.560 - Sent 6200 TEST messages...
2025-08-10 13:21:43.697 - Sent 6300 TEST messages...
2025-08-10 13:21:43.839 - Sent 6400 TEST messages...
2025-08-10 13:21:43.965 - Sent 6500 TEST messages...
2025-08-10 13:21:44.108 - Sent 6600 TEST messages...
2025-08-10 13:21:44.241 - Sent 6700 TEST messages...
2025-08-10 13:21:44.368 - Sent 6800 TEST messages...
2025-08-10 13:21:44.511 - Sent 6900 TEST messages...
2025-08-10 13:21:44.639 - Sent 7000 TEST messages...
2025-08-10 13:21:44.765 - Sent 7100 TEST messages...
2025-08-10 13:21:44.893 - Sent 7200 TEST messages...
2025-08-10 13:21:45.019 - Sent 7300 TEST messages...
2025-08-10 13:21:45.163 - Sent 7400 TEST messages...
2025-08-10 13:21:45.296 - Sent 7500 TEST messages...
2025-08-10 13:21:45.423 - Sent 7600 TEST messages...
2025-08-10 13:21:45.595 - Sent 7700 TEST messages...
2025-08-10 13:21:45.723 - Sent 7800 TEST messages...
2025-08-10 13:21:45.850 - Sent 7900 TEST messages...
2025-08-10 13:21:45.992 - Sent 8000 TEST messages...
2025-08-10 13:21:46.127 - Sent 8100 TEST messages...
2025-08-10 13:21:46.254 - Sent 8200 TEST messages...
2025-08-10 13:21:46.382 - Sent 8300 TEST messages...
2025-08-10 13:21:46.514 - Sent 8400 TEST messages...
2025-08-10 13:21:46.651 - Sent 8500 TEST messages...
2025-08-10 13:21:46.778 - Sent 8600 TEST messages...
2025-08-10 13:21:46.906 - Sent 8700 TEST messages...
2025-08-10 13:21:47.033 - Sent 8800 TEST messages...
2025-08-10 13:21:47.181 - Sent 8900 TEST messages...
2025-08-10 13:21:47.307 - Sent 9000 TEST messages...
2025-08-10 13:21:47.435 - Sent 9100 TEST messages...
2025-08-10 13:21:47.567 - Sent 9200 TEST messages...
2025-08-10 13:21:47.699 - Sent 9300 TEST messages...
