2025-08-11 15:05:47.524 - SignalR Publisher Starting...
2025-08-11 15:05:52.593 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-11 15:05:53.172 - Connected to SignalR hub
2025-08-11 15:05:54.184 - Creating 100 warm-up messages
2025-08-11 15:05:54.185 - Starting warm-up phase with 100 messages
2025-08-11 15:05:54.538 - Sent 100 WARMUP messages...
2025-08-11 15:05:54.538 - Completed sending all 100 WARMUP messages
2025-08-11 15:05:54.539 - Warm-up phase completed
2025-08-11 15:05:56.540 - Creating 10000 test messages
2025-08-11 15:05:56.546 - All 10000 test messages created, starting to send...
2025-08-11 15:05:56.547 - Starting performance test with 10000 messages
2025-08-11 15:05:56.680 - Sent 100 TEST messages...
2025-08-11 15:05:56.792 - Sent 200 TEST messages...
2025-08-11 15:05:56.919 - Sent 300 TEST messages...
2025-08-11 15:05:57.059 - Sent 400 TEST messages...
2025-08-11 15:05:57.184 - Sent 500 TEST messages...
2025-08-11 15:05:57.310 - Sent 600 TEST messages...
2025-08-11 15:05:57.436 - Sent 700 TEST messages...
2025-08-11 15:05:57.560 - Sent 800 TEST messages...
2025-08-11 15:05:57.700 - Sent 900 TEST messages...
2025-08-11 15:05:57.839 - Sent 1000 TEST messages...
2025-08-11 15:05:57.977 - Sent 1100 TEST messages...
2025-08-11 15:05:58.132 - Sent 1200 TEST messages...
2025-08-11 15:05:58.269 - Sent 1300 TEST messages...
2025-08-11 15:05:58.408 - Sent 1400 TEST messages...
2025-08-11 15:05:58.533 - Sent 1500 TEST messages...
2025-08-11 15:05:58.657 - Sent 1600 TEST messages...
2025-08-11 15:05:58.796 - Sent 1700 TEST messages...
2025-08-11 15:05:58.949 - Sent 1800 TEST messages...
2025-08-11 15:05:59.073 - Sent 1900 TEST messages...
2025-08-11 15:05:59.198 - Sent 2000 TEST messages...
2025-08-11 15:05:59.338 - Sent 2100 TEST messages...
2025-08-11 15:05:59.464 - Sent 2200 TEST messages...
2025-08-11 15:05:59.604 - Sent 2300 TEST messages...
2025-08-11 15:05:59.744 - Sent 2400 TEST messages...
2025-08-11 15:05:59.882 - Sent 2500 TEST messages...
2025-08-11 15:06:00.022 - Sent 2600 TEST messages...
2025-08-11 15:06:00.164 - Sent 2700 TEST messages...
2025-08-11 15:06:00.304 - Sent 2800 TEST messages...
2025-08-11 15:06:00.443 - Sent 2900 TEST messages...
2025-08-11 15:06:00.566 - Sent 3000 TEST messages...
2025-08-11 15:06:00.693 - Sent 3100 TEST messages...
2025-08-11 15:06:00.831 - Sent 3200 TEST messages...
2025-08-11 15:06:00.971 - Sent 3300 TEST messages...
2025-08-11 15:06:01.096 - Sent 3400 TEST messages...
2025-08-11 15:06:01.221 - Sent 3500 TEST messages...
2025-08-11 15:06:01.360 - Sent 3600 TEST messages...
2025-08-11 15:06:01.498 - Sent 3700 TEST messages...
2025-08-11 15:06:01.636 - Sent 3800 TEST messages...
2025-08-11 15:06:01.763 - Sent 3900 TEST messages...
2025-08-11 15:06:01.887 - Sent 4000 TEST messages...
2025-08-11 15:06:02.026 - Sent 4100 TEST messages...
2025-08-11 15:06:02.151 - Sent 4200 TEST messages...
2025-08-11 15:06:02.289 - Sent 4300 TEST messages...
2025-08-11 15:06:02.429 - Sent 4400 TEST messages...
2025-08-11 15:06:02.554 - Sent 4500 TEST messages...
2025-08-11 15:06:02.679 - Sent 4600 TEST messages...
2025-08-11 15:06:02.802 - Sent 4700 TEST messages...
2025-08-11 15:06:02.927 - Sent 4800 TEST messages...
2025-08-11 15:06:03.067 - Sent 4900 TEST messages...
2025-08-11 15:06:03.192 - Sent 5000 TEST messages...
2025-08-11 15:06:03.316 - Sent 5100 TEST messages...
2025-08-11 15:06:03.440 - Sent 5200 TEST messages...
2025-08-11 15:06:03.562 - Sent 5300 TEST messages...
2025-08-11 15:06:03.702 - Sent 5400 TEST messages...
2025-08-11 15:06:03.844 - Sent 5500 TEST messages...
2025-08-11 15:06:03.984 - Sent 5600 TEST messages...
2025-08-11 15:06:04.125 - Sent 5700 TEST messages...
2025-08-11 15:06:04.252 - Sent 5800 TEST messages...
2025-08-11 15:06:04.377 - Sent 5900 TEST messages...
2025-08-11 15:06:04.532 - Sent 6000 TEST messages...
2025-08-11 15:06:04.674 - Sent 6100 TEST messages...
