2025-08-11 13:52:35.740 - SignalR Publisher Starting...
2025-08-11 13:52:41.505 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-11 13:52:42.028 - Connected to SignalR hub
2025-08-11 13:52:43.032 - Starting warm-up phase with 100 messages
2025-08-11 13:52:43.384 - Sent 100 WARMUP messages...
2025-08-11 13:52:43.384 - Completed sending all 100 WARMUP messages
2025-08-11 13:52:43.384 - Warm-up phase completed
2025-08-11 13:52:45.389 - Starting performance test with 10000 messages
2025-08-11 13:52:45.527 - Sent 100 TEST messages...
2025-08-11 13:52:45.650 - Sent 200 TEST messages...
2025-08-11 13:52:45.775 - Sent 300 TEST messages...
2025-08-11 13:52:45.899 - Sent 400 TEST messages...
2025-08-11 13:52:46.021 - Sent 500 TEST messages...
2025-08-11 13:52:46.145 - Sent 600 TEST messages...
2025-08-11 13:52:46.269 - Sent 700 TEST messages...
2025-08-11 13:52:46.393 - Sent 800 TEST messages...
2025-08-11 13:52:46.532 - Sent 900 TEST messages...
2025-08-11 13:52:46.670 - Sent 1000 TEST messages...
2025-08-11 13:52:46.795 - Sent 1100 TEST messages...
2025-08-11 13:52:46.936 - Sent 1200 TEST messages...
2025-08-11 13:52:47.060 - Sent 1300 TEST messages...
2025-08-11 13:52:47.184 - Sent 1400 TEST messages...
2025-08-11 13:52:47.308 - Sent 1500 TEST messages...
2025-08-11 13:52:47.446 - Sent 1600 TEST messages...
2025-08-11 13:52:47.574 - Sent 1700 TEST messages...
2025-08-11 13:52:47.698 - Sent 1800 TEST messages...
2025-08-11 13:52:47.838 - Sent 1900 TEST messages...
2025-08-11 13:52:47.977 - Sent 2000 TEST messages...
2025-08-11 13:52:48.117 - Sent 2100 TEST messages...
2025-08-11 13:52:48.241 - Sent 2200 TEST messages...
2025-08-11 13:52:48.365 - Sent 2300 TEST messages...
2025-08-11 13:52:48.492 - Sent 2400 TEST messages...
2025-08-11 13:52:48.617 - Sent 2500 TEST messages...
2025-08-11 13:52:48.758 - Sent 2600 TEST messages...
2025-08-11 13:52:48.882 - Sent 2700 TEST messages...
2025-08-11 13:52:49.009 - Sent 2800 TEST messages...
2025-08-11 13:52:49.150 - Sent 2900 TEST messages...
2025-08-11 13:52:49.276 - Sent 3000 TEST messages...
2025-08-11 13:52:49.402 - Sent 3100 TEST messages...
2025-08-11 13:52:49.527 - Sent 3200 TEST messages...
2025-08-11 13:52:49.653 - Sent 3300 TEST messages...
2025-08-11 13:52:49.776 - Sent 3400 TEST messages...
2025-08-11 13:52:49.901 - Sent 3500 TEST messages...
2025-08-11 13:52:50.040 - Sent 3600 TEST messages...
2025-08-11 13:52:50.178 - Sent 3700 TEST messages...
2025-08-11 13:52:50.305 - Sent 3800 TEST messages...
2025-08-11 13:52:50.427 - Sent 3900 TEST messages...
2025-08-11 13:52:50.552 - Sent 4000 TEST messages...
2025-08-11 13:52:50.692 - Sent 4100 TEST messages...
2025-08-11 13:52:50.817 - Sent 4200 TEST messages...
2025-08-11 13:52:50.942 - Sent 4300 TEST messages...
2025-08-11 13:52:51.067 - Sent 4400 TEST messages...
2025-08-11 13:52:51.190 - Sent 4500 TEST messages...
2025-08-11 13:52:51.314 - Sent 4600 TEST messages...
2025-08-11 13:52:51.440 - Sent 4700 TEST messages...
2025-08-11 13:52:51.593 - Sent 4800 TEST messages...
2025-08-11 13:52:51.719 - Sent 4900 TEST messages...
2025-08-11 13:52:51.845 - Sent 5000 TEST messages...
2025-08-11 13:52:51.969 - Sent 5100 TEST messages...
2025-08-11 13:52:52.095 - Sent 5200 TEST messages...
2025-08-11 13:52:52.220 - Sent 5300 TEST messages...
2025-08-11 13:52:52.343 - Sent 5400 TEST messages...
2025-08-11 13:52:52.469 - Sent 5500 TEST messages...
2025-08-11 13:52:52.592 - Sent 5600 TEST messages...
2025-08-11 13:52:52.718 - Sent 5700 TEST messages...
2025-08-11 13:52:52.844 - Sent 5800 TEST messages...
2025-08-11 13:52:52.968 - Sent 5900 TEST messages...
2025-08-11 13:52:53.094 - Sent 6000 TEST messages...
2025-08-11 13:52:53.218 - Sent 6100 TEST messages...
2025-08-11 13:52:53.357 - Sent 6200 TEST messages...
2025-08-11 13:52:53.482 - Sent 6300 TEST messages...
2025-08-11 13:52:53.607 - Sent 6400 TEST messages...
2025-08-11 13:52:53.730 - Sent 6500 TEST messages...
2025-08-11 13:52:53.856 - Sent 6600 TEST messages...
2025-08-11 13:52:53.993 - Sent 6700 TEST messages...
2025-08-11 13:52:54.133 - Sent 6800 TEST messages...
2025-08-11 13:52:54.274 - Sent 6900 TEST messages...
2025-08-11 13:52:54.415 - Sent 7000 TEST messages...
2025-08-11 13:52:54.556 - Sent 7100 TEST messages...
2025-08-11 13:52:54.696 - Sent 7200 TEST messages...
2025-08-11 13:52:54.823 - Sent 7300 TEST messages...
2025-08-11 13:52:54.960 - Sent 7400 TEST messages...
2025-08-11 13:52:55.082 - Sent 7500 TEST messages...
2025-08-11 13:52:55.206 - Sent 7600 TEST messages...
2025-08-11 13:52:55.344 - Sent 7700 TEST messages...
2025-08-11 13:52:55.482 - Sent 7800 TEST messages...
2025-08-11 13:52:55.607 - Sent 7900 TEST messages...
2025-08-11 13:52:55.747 - Sent 8000 TEST messages...
2025-08-11 13:52:55.875 - Sent 8100 TEST messages...
2025-08-11 13:52:55.997 - Sent 8200 TEST messages...
2025-08-11 13:52:56.122 - Sent 8300 TEST messages...
2025-08-11 13:52:56.248 - Sent 8400 TEST messages...
2025-08-11 13:52:56.375 - Sent 8500 TEST messages...
2025-08-11 13:52:56.500 - Sent 8600 TEST messages...
2025-08-11 13:52:56.624 - Sent 8700 TEST messages...
2025-08-11 13:52:56.748 - Sent 8800 TEST messages...
2025-08-11 13:52:56.875 - Sent 8900 TEST messages...
2025-08-11 13:52:57.000 - Sent 9000 TEST messages...
2025-08-11 13:52:57.141 - Sent 9100 TEST messages...
2025-08-11 13:52:57.280 - Sent 9200 TEST messages...
2025-08-11 13:52:57.403 - Sent 9300 TEST messages...
2025-08-11 13:52:57.542 - Sent 9400 TEST messages...
2025-08-11 13:52:57.681 - Sent 9500 TEST messages...
2025-08-11 13:52:57.820 - Sent 9600 TEST messages...
2025-08-11 13:52:57.960 - Sent 9700 TEST messages...
2025-08-11 13:52:58.099 - Sent 9800 TEST messages...
2025-08-11 13:52:58.240 - Sent 9900 TEST messages...
2025-08-11 13:52:58.364 - Sent 10000 TEST messages...
