2025-08-11 13:16:54.319 - SignalR Publisher Starting...
2025-08-11 13:17:00.192 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-11 13:17:01.508 - Connected to SignalR hub
2025-08-11 13:17:02.515 - Starting warm-up phase with 100 messages
2025-08-11 13:17:03.322 - Sent 100 WARMUP messages...
2025-08-11 13:17:03.323 - Completed sending all 100 WARMUP messages
2025-08-11 13:17:03.324 - Warm-up phase completed
2025-08-11 13:17:05.329 - Starting performance test with 10000 messages
2025-08-11 13:17:05.712 - Sent 100 TEST messages...
2025-08-11 13:17:06.076 - Sent 200 TEST messages...
2025-08-11 13:17:06.419 - Sent 300 TEST messages...
2025-08-11 13:17:06.685 - Sent 400 TEST messages...
2025-08-11 13:17:06.984 - Sent 500 TEST messages...
2025-08-11 13:17:07.250 - Sent 600 TEST messages...
2025-08-11 13:17:07.513 - Sent 700 TEST messages...
2025-08-11 13:17:07.795 - Sent 800 TEST messages...
2025-08-11 13:17:08.077 - Sent 900 TEST messages...
2025-08-11 13:17:08.448 - Sent 1000 TEST messages...
2025-08-11 13:17:08.742 - Sent 1100 TEST messages...
2025-08-11 13:17:09.005 - Sent 1200 TEST messages...
2025-08-11 13:17:09.255 - Sent 1300 TEST messages...
2025-08-11 13:17:09.539 - Sent 1400 TEST messages...
2025-08-11 13:17:09.835 - Sent 1500 TEST messages...
2025-08-11 13:17:10.114 - Sent 1600 TEST messages...
2025-08-11 13:17:10.395 - Sent 1700 TEST messages...
2025-08-11 13:17:10.676 - Sent 1800 TEST messages...
2025-08-11 13:17:10.942 - Sent 1900 TEST messages...
2025-08-11 13:17:11.222 - Sent 2000 TEST messages...
2025-08-11 13:17:11.520 - Sent 2100 TEST messages...
2025-08-11 13:17:11.786 - Sent 2200 TEST messages...
2025-08-11 13:17:12.050 - Sent 2300 TEST messages...
2025-08-11 13:17:12.331 - Sent 2400 TEST messages...
2025-08-11 13:17:12.610 - Sent 2500 TEST messages...
2025-08-11 13:17:12.877 - Sent 2600 TEST messages...
2025-08-11 13:17:13.146 - Sent 2700 TEST messages...
2025-08-11 13:17:13.423 - Sent 2800 TEST messages...
2025-08-11 13:17:13.732 - Sent 2900 TEST messages...
2025-08-11 13:17:14.018 - Sent 3000 TEST messages...
2025-08-11 13:17:14.299 - Sent 3100 TEST messages...
2025-08-11 13:17:14.592 - Sent 3200 TEST messages...
2025-08-11 13:17:14.886 - Sent 3300 TEST messages...
2025-08-11 13:17:15.260 - Sent 3400 TEST messages...
2025-08-11 13:17:15.539 - Sent 3500 TEST messages...
2025-08-11 13:17:15.836 - Sent 3600 TEST messages...
2025-08-11 13:17:16.115 - Sent 3700 TEST messages...
2025-08-11 13:17:16.397 - Sent 3800 TEST messages...
2025-08-11 13:17:16.677 - Sent 3900 TEST messages...
2025-08-11 13:17:16.958 - Sent 4000 TEST messages...
2025-08-11 13:17:17.242 - Sent 4100 TEST messages...
2025-08-11 13:17:17.612 - Sent 4200 TEST messages...
