2025-08-09 01:37:15.752 - SignalR Publisher Starting...
2025-08-09 01:37:23.043 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-09 01:37:23.536 - Connected to SignalR hub
2025-08-09 01:37:24.546 - Starting warm-up phase with 100 messages
2025-08-09 01:37:24.872 - Sent 100 WARMUP messages...
2025-08-09 01:37:24.872 - Completed sending all 100 WARMUP messages
2025-08-09 01:37:24.872 - Warm-up phase completed
2025-08-09 01:37:26.882 - Starting performance test with 10000 messages
2025-08-09 01:37:27.021 - Sent 100 TEST messages...
2025-08-09 01:37:27.147 - Sent 200 TEST messages...
2025-08-09 01:37:27.274 - Sent 300 TEST messages...
2025-08-09 01:37:27.399 - Sent 400 TEST messages...
2025-08-09 01:37:27.524 - Sent 500 TEST messages...
2025-08-09 01:37:27.649 - Sent 600 TEST messages...
2025-08-09 01:37:27.773 - Sent 700 TEST messages...
2025-08-09 01:37:27.901 - Sent 800 TEST messages...
2025-08-09 01:37:28.058 - Sent 900 TEST messages...
2025-08-09 01:37:28.197 - Sent 1000 TEST messages...
2025-08-09 01:37:28.319 - Sent 1100 TEST messages...
2025-08-09 01:37:28.506 - Sent 1200 TEST messages...
2025-08-09 01:37:28.646 - Sent 1300 TEST messages...
2025-08-09 01:37:28.784 - Sent 1400 TEST messages...
2025-08-09 01:37:28.926 - Sent 1500 TEST messages...
2025-08-09 01:37:29.066 - Sent 1600 TEST messages...
2025-08-09 01:37:29.209 - Sent 1700 TEST messages...
2025-08-09 01:37:29.333 - Sent 1800 TEST messages...
2025-08-09 01:37:29.472 - Sent 1900 TEST messages...
2025-08-09 01:37:29.596 - Sent 2000 TEST messages...
2025-08-09 01:37:29.735 - Sent 2100 TEST messages...
2025-08-09 01:37:29.859 - Sent 2200 TEST messages...
2025-08-09 01:37:29.985 - Sent 2300 TEST messages...
2025-08-09 01:37:30.109 - Sent 2400 TEST messages...
2025-08-09 01:37:30.233 - Sent 2500 TEST messages...
2025-08-09 01:37:30.357 - Sent 2600 TEST messages...
2025-08-09 01:37:30.482 - Sent 2700 TEST messages...
2025-08-09 01:37:30.606 - Sent 2800 TEST messages...
2025-08-09 01:37:30.733 - Sent 2900 TEST messages...
2025-08-09 01:37:30.860 - Sent 3000 TEST messages...
2025-08-09 01:37:30.985 - Sent 3100 TEST messages...
2025-08-09 01:37:31.110 - Sent 3200 TEST messages...
2025-08-09 01:37:31.248 - Sent 3300 TEST messages...
2025-08-09 01:37:31.384 - Sent 3400 TEST messages...
2025-08-09 01:37:31.509 - Sent 3500 TEST messages...
2025-08-09 01:37:31.633 - Sent 3600 TEST messages...
2025-08-09 01:37:31.757 - Sent 3700 TEST messages...
2025-08-09 01:37:31.881 - Sent 3800 TEST messages...
2025-08-09 01:37:32.007 - Sent 3900 TEST messages...
2025-08-09 01:37:32.133 - Sent 4000 TEST messages...
2025-08-09 01:37:32.272 - Sent 4100 TEST messages...
2025-08-09 01:37:32.398 - Sent 4200 TEST messages...
2025-08-09 01:37:32.536 - Sent 4300 TEST messages...
2025-08-09 01:37:32.661 - Sent 4400 TEST messages...
2025-08-09 01:37:32.801 - Sent 4500 TEST messages...
2025-08-09 01:37:32.941 - Sent 4600 TEST messages...
2025-08-09 01:37:33.114 - Sent 4700 TEST messages...
2025-08-09 01:37:33.254 - Sent 4800 TEST messages...
2025-08-09 01:37:33.393 - Sent 4900 TEST messages...
2025-08-09 01:37:33.520 - Sent 5000 TEST messages...
2025-08-09 01:37:33.659 - Sent 5100 TEST messages...
2025-08-09 01:37:33.799 - Sent 5200 TEST messages...
2025-08-09 01:37:33.939 - Sent 5300 TEST messages...
2025-08-09 01:37:34.078 - Sent 5400 TEST messages...
2025-08-09 01:37:34.203 - Sent 5500 TEST messages...
2025-08-09 01:37:34.329 - Sent 5600 TEST messages...
2025-08-09 01:37:34.455 - Sent 5700 TEST messages...
