2025-08-17 00:57:13.876 - SignalR Publisher Starting...
2025-08-17 00:57:23.638 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-17 00:57:24.400 - Connected to SignalR hub
2025-08-17 00:57:25.416 - Creating 100 warm-up messages
2025-08-17 00:57:25.417 - Starting warm-up phase with 100 messages
2025-08-17 00:57:25.804 - Sent 100 WARMUP messages...
2025-08-17 00:57:25.804 - Completed sending all 100 WARMUP messages
2025-08-17 00:57:25.805 - Warm-up phase completed
2025-08-17 00:57:27.819 - Creating 10000 test messages
2025-08-17 00:57:27.827 - All 10000 test messages created, starting to send...
2025-08-17 00:57:27.827 - Starting performance test with 10000 messages
2025-08-17 00:57:27.976 - Sent 100 TEST messages...
2025-08-17 00:57:28.115 - Sent 200 TEST messages...
2025-08-17 00:57:28.255 - Sent 300 TEST messages...
2025-08-17 00:57:28.392 - Sent 400 TEST messages...
2025-08-17 00:57:28.549 - Sent 500 TEST messages...
2025-08-17 00:57:28.689 - Sent 600 TEST messages...
2025-08-17 00:57:28.831 - Sent 700 TEST messages...
2025-08-17 00:57:28.984 - Sent 800 TEST messages...
2025-08-17 00:57:29.139 - Sent 900 TEST messages...
2025-08-17 00:57:29.281 - Sent 1000 TEST messages...
2025-08-17 00:57:29.421 - Sent 1100 TEST messages...
2025-08-17 00:57:29.562 - Sent 1200 TEST messages...
2025-08-17 00:57:29.716 - Sent 1300 TEST messages...
2025-08-17 00:57:29.873 - Sent 1400 TEST messages...
2025-08-17 00:57:30.017 - Sent 1500 TEST messages...
2025-08-17 00:57:30.160 - Sent 1600 TEST messages...
2025-08-17 00:57:30.311 - Sent 1700 TEST messages...
2025-08-17 00:57:30.463 - Sent 1800 TEST messages...
2025-08-17 00:57:30.604 - Sent 1900 TEST messages...
2025-08-17 00:57:30.744 - Sent 2000 TEST messages...
2025-08-17 00:57:30.884 - Sent 2100 TEST messages...
2025-08-17 00:57:31.025 - Sent 2200 TEST messages...
2025-08-17 00:57:31.182 - Sent 2300 TEST messages...
2025-08-17 00:57:31.322 - Sent 2400 TEST messages...
2025-08-17 00:57:31.462 - Sent 2500 TEST messages...
2025-08-17 00:57:31.602 - Sent 2600 TEST messages...
2025-08-17 00:57:31.744 - Sent 2700 TEST messages...
2025-08-17 00:57:31.881 - Sent 2800 TEST messages...
2025-08-17 00:57:32.021 - Sent 2900 TEST messages...
2025-08-17 00:57:32.163 - Sent 3000 TEST messages...
2025-08-17 00:57:32.303 - Sent 3100 TEST messages...
2025-08-17 00:57:32.444 - Sent 3200 TEST messages...
2025-08-17 00:57:32.584 - Sent 3300 TEST messages...
2025-08-17 00:57:32.726 - Sent 3400 TEST messages...
2025-08-17 00:57:32.863 - Sent 3500 TEST messages...
2025-08-17 00:57:33.002 - Sent 3600 TEST messages...
2025-08-17 00:57:33.144 - Sent 3700 TEST messages...
2025-08-17 00:57:33.283 - Sent 3800 TEST messages...
2025-08-17 00:57:33.473 - Sent 3900 TEST messages...
2025-08-17 00:57:33.614 - Sent 4000 TEST messages...
2025-08-17 00:57:33.755 - Sent 4100 TEST messages...
2025-08-17 00:57:33.896 - Sent 4200 TEST messages...
2025-08-17 00:57:34.036 - Sent 4300 TEST messages...
2025-08-17 00:57:34.180 - Sent 4400 TEST messages...
2025-08-17 00:57:34.321 - Sent 4500 TEST messages...
2025-08-17 00:57:34.462 - Sent 4600 TEST messages...
2025-08-17 00:57:34.605 - Sent 4700 TEST messages...
2025-08-17 00:57:34.745 - Sent 4800 TEST messages...
2025-08-17 00:57:34.885 - Sent 4900 TEST messages...
2025-08-17 00:57:35.024 - Sent 5000 TEST messages...
2025-08-17 00:57:35.168 - Sent 5100 TEST messages...
2025-08-17 00:57:35.310 - Sent 5200 TEST messages...
