2025-08-11 15:18:04.029 - SignalR Publisher Starting...
2025-08-11 15:18:09.527 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-11 15:18:10.040 - Connected to SignalR hub
2025-08-11 15:18:11.056 - Creating 100 warm-up messages
2025-08-11 15:18:11.057 - Starting warm-up phase with 100 messages
2025-08-11 15:18:11.693 - Sent 100 WARMUP messages...
2025-08-11 15:18:11.693 - Completed sending all 100 WARMUP messages
2025-08-11 15:18:11.694 - Warm-up phase completed
2025-08-11 15:18:13.703 - Creating 10000 test messages
2025-08-11 15:18:13.710 - All 10000 test messages created, starting to send...
2025-08-11 15:18:13.710 - Starting performance test with 10000 messages
2025-08-11 15:18:13.845 - Sent 100 TEST messages...
2025-08-11 15:18:13.973 - Sent 200 TEST messages...
2025-08-11 15:18:14.097 - Sent 300 TEST messages...
2025-08-11 15:18:14.222 - Sent 400 TEST messages...
2025-08-11 15:18:14.346 - Sent 500 TEST messages...
2025-08-11 15:18:14.471 - Sent 600 TEST messages...
2025-08-11 15:18:14.594 - Sent 700 TEST messages...
2025-08-11 15:18:14.734 - Sent 800 TEST messages...
2025-08-11 15:18:14.874 - Sent 900 TEST messages...
2025-08-11 15:18:15.030 - Sent 1000 TEST messages...
2025-08-11 15:18:15.168 - Sent 1100 TEST messages...
2025-08-11 15:18:15.294 - Sent 1200 TEST messages...
2025-08-11 15:18:15.418 - Sent 1300 TEST messages...
2025-08-11 15:18:15.555 - Sent 1400 TEST messages...
2025-08-11 15:18:15.695 - Sent 1500 TEST messages...
2025-08-11 15:18:15.836 - Sent 1600 TEST messages...
2025-08-11 15:18:15.975 - Sent 1700 TEST messages...
2025-08-11 15:18:16.117 - Sent 1800 TEST messages...
2025-08-11 15:18:16.258 - Sent 1900 TEST messages...
2025-08-11 15:18:16.400 - Sent 2000 TEST messages...
2025-08-11 15:18:16.526 - Sent 2100 TEST messages...
2025-08-11 15:18:16.663 - Sent 2200 TEST messages...
2025-08-11 15:18:16.803 - Sent 2300 TEST messages...
2025-08-11 15:18:16.927 - Sent 2400 TEST messages...
2025-08-11 15:18:17.051 - Sent 2500 TEST messages...
2025-08-11 15:18:17.178 - Sent 2600 TEST messages...
2025-08-11 15:18:17.304 - Sent 2700 TEST messages...
2025-08-11 15:18:17.445 - Sent 2800 TEST messages...
2025-08-11 15:18:17.586 - Sent 2900 TEST messages...
2025-08-11 15:18:17.727 - Sent 3000 TEST messages...
2025-08-11 15:18:17.867 - Sent 3100 TEST messages...
2025-08-11 15:18:17.991 - Sent 3200 TEST messages...
2025-08-11 15:18:18.114 - Sent 3300 TEST messages...
2025-08-11 15:18:18.238 - Sent 3400 TEST messages...
2025-08-11 15:18:18.378 - Sent 3500 TEST messages...
2025-08-11 15:18:18.504 - Sent 3600 TEST messages...
2025-08-11 15:18:18.642 - Sent 3700 TEST messages...
2025-08-11 15:18:18.767 - Sent 3800 TEST messages...
2025-08-11 15:18:18.891 - Sent 3900 TEST messages...
2025-08-11 15:18:19.016 - Sent 4000 TEST messages...
2025-08-11 15:18:19.142 - Sent 4100 TEST messages...
2025-08-11 15:18:19.266 - Sent 4200 TEST messages...
2025-08-11 15:18:19.407 - Sent 4300 TEST messages...
2025-08-11 15:18:19.548 - Sent 4400 TEST messages...
2025-08-11 15:18:19.671 - Sent 4500 TEST messages...
2025-08-11 15:18:19.811 - Sent 4600 TEST messages...
2025-08-11 15:18:19.936 - Sent 4700 TEST messages...
2025-08-11 15:18:20.076 - Sent 4800 TEST messages...
