2025-08-09 01:32:34.725 - SignalR Publisher Starting...
2025-08-09 01:32:37.443 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-09 01:32:37.961 - Connected to SignalR hub
2025-08-09 01:32:38.964 - Starting warm-up phase with 100 messages
2025-08-09 01:32:39.292 - Sent 100 WARMUP messages...
2025-08-09 01:32:39.292 - Completed sending all 100 WARMUP messages
2025-08-09 01:32:39.292 - Warm-up phase completed
2025-08-09 01:32:41.294 - Starting performance test with 10000 messages
2025-08-09 01:32:41.420 - Sent 100 TEST messages...
2025-08-09 01:32:41.544 - Sent 200 TEST messages...
2025-08-09 01:32:41.666 - Sent 300 TEST messages...
2025-08-09 01:32:41.792 - Sent 400 TEST messages...
2025-08-09 01:32:41.914 - Sent 500 TEST messages...
2025-08-09 01:32:42.037 - Sent 600 TEST messages...
2025-08-09 01:32:42.162 - Sent 700 TEST messages...
2025-08-09 01:32:42.299 - Sent 800 TEST messages...
2025-08-09 01:32:42.468 - Sent 900 TEST messages...
2025-08-09 01:32:42.607 - Sent 1000 TEST messages...
2025-08-09 01:32:42.759 - Sent 1100 TEST messages...
2025-08-09 01:32:42.944 - Sent 1200 TEST messages...
2025-08-09 01:32:43.082 - Sent 1300 TEST messages...
2025-08-09 01:32:43.219 - Sent 1400 TEST messages...
2025-08-09 01:32:43.357 - Sent 1500 TEST messages...
2025-08-09 01:32:43.478 - Sent 1600 TEST messages...
2025-08-09 01:32:43.601 - Sent 1700 TEST messages...
2025-08-09 01:32:43.739 - Sent 1800 TEST messages...
2025-08-09 01:32:43.879 - Sent 1900 TEST messages...
2025-08-09 01:32:44.001 - Sent 2000 TEST messages...
2025-08-09 01:32:44.127 - Sent 2100 TEST messages...
2025-08-09 01:32:44.251 - Sent 2200 TEST messages...
2025-08-09 01:32:44.378 - Sent 2300 TEST messages...
2025-08-09 01:32:44.503 - Sent 2400 TEST messages...
2025-08-09 01:32:44.627 - Sent 2500 TEST messages...
2025-08-09 01:32:44.751 - Sent 2600 TEST messages...
2025-08-09 01:32:44.876 - Sent 2700 TEST messages...
2025-08-09 01:32:45.002 - Sent 2800 TEST messages...
2025-08-09 01:32:45.125 - Sent 2900 TEST messages...
2025-08-09 01:32:45.248 - Sent 3000 TEST messages...
2025-08-09 01:32:45.372 - Sent 3100 TEST messages...
2025-08-09 01:32:45.495 - Sent 3200 TEST messages...
2025-08-09 01:32:45.621 - Sent 3300 TEST messages...
2025-08-09 01:32:45.746 - Sent 3400 TEST messages...
2025-08-09 01:32:45.870 - Sent 3500 TEST messages...
2025-08-09 01:32:45.996 - Sent 3600 TEST messages...
2025-08-09 01:32:46.121 - Sent 3700 TEST messages...
2025-08-09 01:32:46.244 - Sent 3800 TEST messages...
2025-08-09 01:32:46.371 - Sent 3900 TEST messages...
2025-08-09 01:32:46.496 - Sent 4000 TEST messages...
2025-08-09 01:32:46.622 - Sent 4100 TEST messages...
2025-08-09 01:32:46.748 - Sent 4200 TEST messages...
2025-08-09 01:32:46.873 - Sent 4300 TEST messages...
2025-08-09 01:32:47.046 - Sent 4400 TEST messages...
2025-08-09 01:32:47.171 - Sent 4500 TEST messages...
2025-08-09 01:32:47.296 - Sent 4600 TEST messages...
2025-08-09 01:32:47.422 - Sent 4700 TEST messages...
2025-08-09 01:32:47.546 - Sent 4800 TEST messages...
2025-08-09 01:32:47.670 - Sent 4900 TEST messages...
2025-08-09 01:32:47.793 - Sent 5000 TEST messages...
2025-08-09 01:32:47.916 - Sent 5100 TEST messages...
2025-08-09 01:32:48.039 - Sent 5200 TEST messages...
2025-08-09 01:32:48.195 - Sent 5300 TEST messages...
2025-08-09 01:32:48.318 - Sent 5400 TEST messages...
2025-08-09 01:32:48.458 - Sent 5500 TEST messages...
2025-08-09 01:32:48.598 - Sent 5600 TEST messages...
2025-08-09 01:32:48.739 - Sent 5700 TEST messages...
2025-08-09 01:32:48.865 - Sent 5800 TEST messages...
2025-08-09 01:32:49.004 - Sent 5900 TEST messages...
2025-08-09 01:32:49.146 - Sent 6000 TEST messages...
2025-08-09 01:32:49.333 - Sent 6100 TEST messages...
2025-08-09 01:32:49.472 - Sent 6200 TEST messages...
2025-08-09 01:32:49.595 - Sent 6300 TEST messages...
2025-08-09 01:32:49.719 - Sent 6400 TEST messages...
2025-08-09 01:32:49.845 - Sent 6500 TEST messages...
2025-08-09 01:32:49.970 - Sent 6600 TEST messages...
2025-08-09 01:32:50.094 - Sent 6700 TEST messages...
2025-08-09 01:32:50.219 - Sent 6800 TEST messages...
2025-08-09 01:32:50.345 - Sent 6900 TEST messages...
2025-08-09 01:32:50.470 - Sent 7000 TEST messages...
2025-08-09 01:32:50.594 - Sent 7100 TEST messages...
2025-08-09 01:32:50.718 - Sent 7200 TEST messages...
2025-08-09 01:32:50.843 - Sent 7300 TEST messages...
2025-08-09 01:32:50.969 - Sent 7400 TEST messages...
