2025-08-09 01:31:19.682 - TCP Socket Publisher Starting (simulating WebSocket)...
2025-08-09 01:31:25.063 - Connecting to TCP server at localhost:8080
2025-08-09 01:31:25.087 - Connected to TCP server
2025-08-09 01:31:26.092 - Starting warm-up phase with 100 messages
2025-08-09 01:31:26.419 - Sent 100 WARMUP messages...
2025-08-09 01:31:26.419 - Completed sending all 100 WARMUP messages
2025-08-09 01:31:26.420 - Warm-up phase completed
2025-08-09 01:31:28.430 - Starting performance test with 10000 messages
2025-08-09 01:31:28.462 - Sent 100 TEST messages...
2025-08-09 01:31:28.494 - Sent 200 TEST messages...
2025-08-09 01:31:28.524 - Sent 300 TEST messages...
2025-08-09 01:31:28.555 - Sent 400 TEST messages...
2025-08-09 01:31:28.588 - Sent 500 TEST messages...
2025-08-09 01:31:28.619 - Sent 600 TEST messages...
2025-08-09 01:31:28.649 - Sent 700 TEST messages...
2025-08-09 01:31:28.681 - Sent 800 TEST messages...
2025-08-09 01:31:28.713 - Sent 900 TEST messages...
2025-08-09 01:31:28.745 - Sent 1000 TEST messages...
2025-08-09 01:31:28.777 - Sent 1100 TEST messages...
2025-08-09 01:31:28.808 - Sent 1200 TEST messages...
2025-08-09 01:31:28.838 - Sent 1300 TEST messages...
2025-08-09 01:31:28.869 - Sent 1400 TEST messages...
2025-08-09 01:31:28.900 - Sent 1500 TEST messages...
2025-08-09 01:31:28.932 - Sent 1600 TEST messages...
2025-08-09 01:31:28.963 - Sent 1700 TEST messages...
2025-08-09 01:31:28.994 - Sent 1800 TEST messages...
2025-08-09 01:31:29.026 - Sent 1900 TEST messages...
2025-08-09 01:31:29.056 - Sent 2000 TEST messages...
2025-08-09 01:31:29.087 - Sent 2100 TEST messages...
2025-08-09 01:31:29.118 - Sent 2200 TEST messages...
2025-08-09 01:31:29.149 - Sent 2300 TEST messages...
2025-08-09 01:31:29.180 - Sent 2400 TEST messages...
2025-08-09 01:31:29.211 - Sent 2500 TEST messages...
2025-08-09 01:31:29.242 - Sent 2600 TEST messages...
2025-08-09 01:31:29.272 - Sent 2700 TEST messages...
2025-08-09 01:31:29.304 - Sent 2800 TEST messages...
2025-08-09 01:31:29.335 - Sent 2900 TEST messages...
2025-08-09 01:31:29.367 - Sent 3000 TEST messages...
2025-08-09 01:31:29.398 - Sent 3100 TEST messages...
2025-08-09 01:31:29.429 - Sent 3200 TEST messages...
2025-08-09 01:31:29.461 - Sent 3300 TEST messages...
2025-08-09 01:31:29.492 - Sent 3400 TEST messages...
2025-08-09 01:31:29.525 - Sent 3500 TEST messages...
2025-08-09 01:31:29.555 - Sent 3600 TEST messages...
2025-08-09 01:31:29.586 - Sent 3700 TEST messages...
2025-08-09 01:31:29.617 - Sent 3800 TEST messages...
2025-08-09 01:31:29.650 - Sent 3900 TEST messages...
2025-08-09 01:31:29.681 - Sent 4000 TEST messages...
2025-08-09 01:31:29.713 - Sent 4100 TEST messages...
2025-08-09 01:31:29.745 - Sent 4200 TEST messages...
2025-08-09 01:31:29.777 - Sent 4300 TEST messages...
2025-08-09 01:31:29.808 - Sent 4400 TEST messages...
2025-08-09 01:31:29.839 - Sent 4500 TEST messages...
2025-08-09 01:31:29.870 - Sent 4600 TEST messages...
2025-08-09 01:31:29.901 - Sent 4700 TEST messages...
2025-08-09 01:31:29.934 - Sent 4800 TEST messages...
2025-08-09 01:31:29.965 - Sent 4900 TEST messages...
2025-08-09 01:31:29.997 - Sent 5000 TEST messages...
2025-08-09 01:31:30.028 - Sent 5100 TEST messages...
2025-08-09 01:31:30.060 - Sent 5200 TEST messages...
2025-08-09 01:31:30.091 - Sent 5300 TEST messages...
2025-08-09 01:31:30.123 - Sent 5400 TEST messages...
2025-08-09 01:31:30.154 - Sent 5500 TEST messages...
2025-08-09 01:31:30.184 - Sent 5600 TEST messages...
2025-08-09 01:31:30.215 - Sent 5700 TEST messages...
