2025-08-11 14:33:45.897 - TCP Socket Publisher Starting (simulating WebSocket)...
2025-08-11 14:33:52.884 - Connecting to TCP server at localhost:8080
2025-08-11 14:33:52.909 - Connected to TCP server
2025-08-11 14:33:53.921 - Creating 100 warm-up messages
2025-08-11 14:33:53.922 - Starting warm-up phase with 100 messages
2025-08-11 14:33:54.075 - Sent 100 WARMUP messages...
2025-08-11 14:33:54.076 - Completed sending all 100 WARMUP messages
2025-08-11 14:33:54.076 - Warm-up phase completed
2025-08-11 14:33:56.090 - Creating 10000 test messages
2025-08-11 14:33:56.095 - All 10000 test messages created, starting to send...
2025-08-11 14:33:56.095 - Starting performance test with 10000 messages
2025-08-11 14:33:56.136 - Sent 100 TEST messages...
2025-08-11 14:33:56.167 - Sent 200 TEST messages...
2025-08-11 14:33:56.198 - Sent 300 TEST messages...
2025-08-11 14:33:56.243 - Sent 400 TEST messages...
2025-08-11 14:33:56.274 - Sent 500 TEST messages...
2025-08-11 14:33:56.304 - Sent 600 TEST messages...
2025-08-11 14:33:56.335 - Sent 700 TEST messages...
2025-08-11 14:33:56.366 - Sent 800 TEST messages...
2025-08-11 14:33:56.397 - Sent 900 TEST messages...
2025-08-11 14:33:56.428 - Sent 1000 TEST messages...
2025-08-11 14:33:56.459 - Sent 1100 TEST messages...
2025-08-11 14:33:56.489 - Sent 1200 TEST messages...
2025-08-11 14:33:56.519 - Sent 1300 TEST messages...
2025-08-11 14:33:56.551 - Sent 1400 TEST messages...
2025-08-11 14:33:56.581 - Sent 1500 TEST messages...
2025-08-11 14:33:56.613 - Sent 1600 TEST messages...
2025-08-11 14:33:56.644 - Sent 1700 TEST messages...
2025-08-11 14:33:56.674 - Sent 1800 TEST messages...
2025-08-11 14:33:56.705 - Sent 1900 TEST messages...
2025-08-11 14:33:56.736 - Sent 2000 TEST messages...
2025-08-11 14:33:56.766 - Sent 2100 TEST messages...
2025-08-11 14:33:56.797 - Sent 2200 TEST messages...
2025-08-11 14:33:56.829 - Sent 2300 TEST messages...
2025-08-11 14:33:56.860 - Sent 2400 TEST messages...
2025-08-11 14:33:56.891 - Sent 2500 TEST messages...
2025-08-11 14:33:56.921 - Sent 2600 TEST messages...
2025-08-11 14:33:56.952 - Sent 2700 TEST messages...
2025-08-11 14:33:56.982 - Sent 2800 TEST messages...
2025-08-11 14:33:57.014 - Sent 2900 TEST messages...
2025-08-11 14:33:57.044 - Sent 3000 TEST messages...
2025-08-11 14:33:57.075 - Sent 3100 TEST messages...
2025-08-11 14:33:57.106 - Sent 3200 TEST messages...
2025-08-11 14:33:57.136 - Sent 3300 TEST messages...
2025-08-11 14:33:57.169 - Sent 3400 TEST messages...
2025-08-11 14:33:57.199 - Sent 3500 TEST messages...
2025-08-11 14:33:57.230 - Sent 3600 TEST messages...
2025-08-11 14:33:57.260 - Sent 3700 TEST messages...
2025-08-11 14:33:57.306 - Sent 3800 TEST messages...
2025-08-11 14:33:57.352 - Sent 3900 TEST messages...
2025-08-11 14:33:57.398 - Sent 4000 TEST messages...
2025-08-11 14:33:57.429 - Sent 4100 TEST messages...
2025-08-11 14:33:57.459 - Sent 4200 TEST messages...
2025-08-11 14:33:57.490 - Sent 4300 TEST messages...
2025-08-11 14:33:57.520 - Sent 4400 TEST messages...
2025-08-11 14:33:57.552 - Sent 4500 TEST messages...
2025-08-11 14:33:57.583 - Sent 4600 TEST messages...
2025-08-11 14:33:57.614 - Sent 4700 TEST messages...
2025-08-11 14:33:57.645 - Sent 4800 TEST messages...
2025-08-11 14:33:57.676 - Sent 4900 TEST messages...
2025-08-11 14:33:57.708 - Sent 5000 TEST messages...
2025-08-11 14:33:57.739 - Sent 5100 TEST messages...
2025-08-11 14:33:57.770 - Sent 5200 TEST messages...
2025-08-11 14:33:57.802 - Sent 5300 TEST messages...
2025-08-11 14:33:57.832 - Sent 5400 TEST messages...
2025-08-11 14:33:57.863 - Sent 5500 TEST messages...
2025-08-11 14:33:57.895 - Sent 5600 TEST messages...
2025-08-11 14:33:57.925 - Sent 5700 TEST messages...
2025-08-11 14:33:57.957 - Sent 5800 TEST messages...
2025-08-11 14:33:57.988 - Sent 5900 TEST messages...
2025-08-11 14:33:58.018 - Sent 6000 TEST messages...
2025-08-11 14:33:58.050 - Sent 6100 TEST messages...
2025-08-11 14:33:58.081 - Sent 6200 TEST messages...
2025-08-11 14:33:58.113 - Sent 6300 TEST messages...
2025-08-11 14:33:58.144 - Sent 6400 TEST messages...
2025-08-11 14:33:58.176 - Sent 6500 TEST messages...
2025-08-11 14:33:58.206 - Sent 6600 TEST messages...
2025-08-11 14:33:58.237 - Sent 6700 TEST messages...
2025-08-11 14:33:58.268 - Sent 6800 TEST messages...
2025-08-11 14:33:58.301 - Sent 6900 TEST messages...
2025-08-11 14:33:58.331 - Sent 7000 TEST messages...
2025-08-11 14:33:58.361 - Sent 7100 TEST messages...
2025-08-11 14:33:58.392 - Sent 7200 TEST messages...
2025-08-11 14:33:58.424 - Sent 7300 TEST messages...
2025-08-11 14:33:58.456 - Sent 7400 TEST messages...
2025-08-11 14:33:58.487 - Sent 7500 TEST messages...
2025-08-11 14:33:58.517 - Sent 7600 TEST messages...
2025-08-11 14:33:58.548 - Sent 7700 TEST messages...
2025-08-11 14:33:58.579 - Sent 7800 TEST messages...
2025-08-11 14:33:58.611 - Sent 7900 TEST messages...
2025-08-11 14:33:58.642 - Sent 8000 TEST messages...
2025-08-11 14:33:58.673 - Sent 8100 TEST messages...
2025-08-11 14:33:58.703 - Sent 8200 TEST messages...
2025-08-11 14:33:58.735 - Sent 8300 TEST messages...
2025-08-11 14:33:58.766 - Sent 8400 TEST messages...
2025-08-11 14:33:58.798 - Sent 8500 TEST messages...
2025-08-11 14:33:58.829 - Sent 8600 TEST messages...
2025-08-11 14:33:58.859 - Sent 8700 TEST messages...
2025-08-11 14:33:58.890 - Sent 8800 TEST messages...
2025-08-11 14:33:58.921 - Sent 8900 TEST messages...
2025-08-11 14:33:58.951 - Sent 9000 TEST messages...
2025-08-11 14:33:58.981 - Sent 9100 TEST messages...
2025-08-11 14:33:59.011 - Sent 9200 TEST messages...
2025-08-11 14:33:59.043 - Sent 9300 TEST messages...
2025-08-11 14:33:59.073 - Sent 9400 TEST messages...
2025-08-11 14:33:59.104 - Sent 9500 TEST messages...
2025-08-11 14:33:59.150 - Sent 9600 TEST messages...
2025-08-11 14:33:59.195 - Sent 9700 TEST messages...
2025-08-11 14:33:59.242 - Sent 9800 TEST messages...
2025-08-11 14:33:59.273 - Sent 9900 TEST messages...
2025-08-11 14:33:59.303 - Sent 10000 TEST messages...
2025-08-11 14:33:59.304 - Completed sending all 10000 TEST messages
2025-08-11 14:33:59.304 - Performance test completed in 3197ms
2025-08-11 14:33:59.304 - Throughput: 3127.03 messages/second
2025-08-11 14:33:59.305 - Waiting for subscriber to process all messages...
