2025-08-11 13:15:24.984 - TCP Socket Publisher Starting (simulating WebSocket)...
2025-08-11 13:15:32.447 - Connecting to TCP server at localhost:8080
2025-08-11 13:15:32.519 - Connected to TCP server
2025-08-11 13:15:33.524 - Starting warm-up phase with 100 messages
2025-08-11 13:15:34.283 - Sent 100 WARMUP messages...
2025-08-11 13:15:34.284 - Completed sending all 100 WARMUP messages
2025-08-11 13:15:34.285 - Warm-up phase completed
2025-08-11 13:15:36.306 - Starting performance test with 10000 messages
2025-08-11 13:15:36.380 - Sent 100 TEST messages...
2025-08-11 13:15:36.442 - Sent 200 TEST messages...
2025-08-11 13:15:36.490 - Sent 300 TEST messages...
2025-08-11 13:15:36.553 - Sent 400 TEST messages...
2025-08-11 13:15:36.615 - Sent 500 TEST messages...
2025-08-11 13:15:36.677 - Sent 600 TEST messages...
2025-08-11 13:15:36.724 - Sent 700 TEST messages...
2025-08-11 13:15:36.786 - Sent 800 TEST messages...
2025-08-11 13:15:36.847 - Sent 900 TEST messages...
2025-08-11 13:15:36.893 - Sent 1000 TEST messages...
2025-08-11 13:15:36.940 - Sent 1100 TEST messages...
2025-08-11 13:15:36.987 - Sent 1200 TEST messages...
2025-08-11 13:15:37.049 - Sent 1300 TEST messages...
2025-08-11 13:15:37.110 - Sent 1400 TEST messages...
2025-08-11 13:15:37.171 - Sent 1500 TEST messages...
2025-08-11 13:15:37.218 - Sent 1600 TEST messages...
2025-08-11 13:15:37.265 - Sent 1700 TEST messages...
2025-08-11 13:15:37.313 - Sent 1800 TEST messages...
2025-08-11 13:15:37.375 - Sent 1900 TEST messages...
2025-08-11 13:15:37.421 - Sent 2000 TEST messages...
2025-08-11 13:15:37.467 - Sent 2100 TEST messages...
2025-08-11 13:15:37.530 - Sent 2200 TEST messages...
2025-08-11 13:15:37.593 - Sent 2300 TEST messages...
2025-08-11 13:15:37.655 - Sent 2400 TEST messages...
2025-08-11 13:15:37.717 - Sent 2500 TEST messages...
2025-08-11 13:15:37.778 - Sent 2600 TEST messages...
2025-08-11 13:15:37.826 - Sent 2700 TEST messages...
2025-08-11 13:15:37.888 - Sent 2800 TEST messages...
2025-08-11 13:15:37.949 - Sent 2900 TEST messages...
2025-08-11 13:15:38.012 - Sent 3000 TEST messages...
2025-08-11 13:15:38.089 - Sent 3100 TEST messages...
2025-08-11 13:15:38.150 - Sent 3200 TEST messages...
2025-08-11 13:15:38.229 - Sent 3300 TEST messages...
2025-08-11 13:15:38.291 - Sent 3400 TEST messages...
2025-08-11 13:15:38.351 - Sent 3500 TEST messages...
2025-08-11 13:15:38.413 - Sent 3600 TEST messages...
2025-08-11 13:15:38.490 - Sent 3700 TEST messages...
2025-08-11 13:15:38.552 - Sent 3800 TEST messages...
2025-08-11 13:15:38.615 - Sent 3900 TEST messages...
2025-08-11 13:15:38.679 - Sent 4000 TEST messages...
2025-08-11 13:15:38.739 - Sent 4100 TEST messages...
2025-08-11 13:15:38.803 - Sent 4200 TEST messages...
2025-08-11 13:15:38.865 - Sent 4300 TEST messages...
2025-08-11 13:15:38.928 - Sent 4400 TEST messages...
2025-08-11 13:15:38.990 - Sent 4500 TEST messages...
2025-08-11 13:15:39.051 - Sent 4600 TEST messages...
2025-08-11 13:15:39.114 - Sent 4700 TEST messages...
2025-08-11 13:15:39.175 - Sent 4800 TEST messages...
2025-08-11 13:15:39.236 - Sent 4900 TEST messages...
2025-08-11 13:15:39.300 - Sent 5000 TEST messages...
2025-08-11 13:15:39.347 - Sent 5100 TEST messages...
2025-08-11 13:15:39.408 - Sent 5200 TEST messages...
2025-08-11 13:15:39.470 - Sent 5300 TEST messages...
2025-08-11 13:15:39.533 - Sent 5400 TEST messages...
2025-08-11 13:15:39.594 - Sent 5500 TEST messages...
2025-08-11 13:15:39.657 - Sent 5600 TEST messages...
2025-08-11 13:15:39.704 - Sent 5700 TEST messages...
2025-08-11 13:15:39.765 - Sent 5800 TEST messages...
2025-08-11 13:15:39.829 - Sent 5900 TEST messages...
