MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,,
1,5.141,6.3891E+17,6.3891E+17,,,5.141,
2,6.158,6.3891E+17,6.3891E+17,,,,
3,6.158,6.3891E+17,6.3891E+17,,,Mean,1685.870572
4,6.158,6.3891E+17,6.3891E+17,,,Standard Error,10.14267197
5,6.158,6.3891E+17,6.3891E+17,,,Median,1624.814
6,7.656,6.3891E+17,6.3891E+17,,,Mode,18.21
7,7.656,6.3891E+17,6.3891E+17,,,Standard Deviation,1014.216483
8,11.647,6.3891E+17,6.3891E+17,,,Sample Variance,1028635.074
9,11.647,6.3891E+17,6.3891E+17,,,Kurtosis,-1.175429745
10,11.647,6.3891E+17,6.3891E+17,,,Skewness,0.119088051
11,11.647,6.3891E+17,6.3891E+17,,,Range,3469.687
12,17.106,6.3891E+17,6.3891E+17,,,Minimum,6.158
13,17.106,6.3891E+17,6.3891E+17,,,Maximum,3475.845
14,17.106,6.3891E+17,6.3891E+17,,,Sum,16857019.85
15,17.106,6.3891E+17,6.3891E+17,,,Count,9999
16,17.106,6.3891E+17,6.3891E+17,,,,1
17,17.106,6.3891E+17,6.3891E+17,,,,
18,17.106,6.3891E+17,6.3891E+17,,,,
19,17.106,6.3891E+17,6.3891E+17,,,,
20,17.106,6.3891E+17,6.3891E+17,,,,
21,17.106,6.3891E+17,6.3891E+17,,,,
22,17.106,6.3891E+17,6.3891E+17,,,,
23,17.106,6.3891E+17,6.3891E+17,,,,
24,17.106,6.3891E+17,6.3891E+17,,,,
25,17.106,6.3891E+17,6.3891E+17,,,,
26,17.106,6.3891E+17,6.3891E+17,,,,
27,17.106,6.3891E+17,6.3891E+17,,,,
28,17.106,6.3891E+17,6.3891E+17,,,,
29,17.106,6.3891E+17,6.3891E+17,,,,
30,17.106,6.3891E+17,6.3891E+17,,,,
31,17.106,6.3891E+17,6.3891E+17,,,,
32,17.106,6.3891E+17,6.3891E+17,,,,
33,17.106,6.3891E+17,6.3891E+17,,,,
34,18.21,6.3891E+17,6.3891E+17,,,,
